ITEM_20150317_000001	
ITEM_20170515_014642	HP를 2188 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2188 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20151223_008742	HP를 1520 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2128 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014643	SP를 726 즉시 회복시키고 2초 간격으로 15초 동안 SP를 726 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014644	HP를 1613 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1613 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014645	SP를 534 즉시 회복시키고 2초 간격으로 15초 동안 SP를 534 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014646	HP를 2419 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2419 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20151223_008754	HP를 1680 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2352 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014647	SP를 804 즉시 회복시키고 2초 간격으로 15초 동안 SP를 804 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20151223_008756	SP를 670 즉시 회복시키고 2초 간격으로 15초 동안 SP를 938 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014648	HP를 1872 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1872 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010542	HP를 1300 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1820 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014649	HP를 2246 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2246회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010544	HP를 1560 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2184회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014650	HP를 2693 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2693 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010546	HP를 1870 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2618 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014651	SP를 1560 즉시 회복시키고 2초 간격으로 15초 동안 SP를 1560 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010548	SP를 1300 즉시 회복시키고 2초 간격으로 15초 동안 SP를 1820 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014652	SP를 1872 즉시 회복시키고 2초 간격으로 15초 동안 SP를 1872 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010550	SP를 1560 즉시 회복시키고 2초 간격으로 15초 동안 SP를 2184회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014653	SP를 2244 즉시 회복시키고 2초 간격으로 15초 동안 SP를 2244 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	ITEM_20160622_010552	SP를 1870 즉시 회복시키고 2초 간격으로 15초 동안 SP를 2618 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 40초.	
ITEM_20170515_014654	15초 동안 2초 간격으로 매회 HP와 SP를 373 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 100초.	
ITEM_20170515_014655	15초 동안 2초 간격으로 매회 HP와 SP를 480 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 100초.	
ITEM_20170515_014656	15초 동안 2초 간격으로 매회 HP와 SP를 617 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 100초.	ITEM_20160906_010831	15초 동안 2초 간격으로 매회 HP와 SP를 617 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014657	3분 동안 물리 공격력을 +76, 마법 공격력을 +70 상승시켜줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	
ITEM_20170515_014658	3분 동안 최대 SP를 2000만큼 상승시켜줍니다. 추가적으로 SP 회복력을 415 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011698	3분 동안 최대 SP를 2000만큼 상승시켜줍니다. 추가적으로 SP 회복력을 415 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초	
ITEM_20170515_014659	3분 동안 최대 HP를 2000만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 40씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011700	3분 동안 최대 HP를 2000만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 40씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014660	15초 동안 2초 간격으로 매회 HP와 SP를 831 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 100초.	ITEM_20161012_011722	15초 동안 2초 간격으로 매회 HP와 SP를 831 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014661	클래스 경험치 복구 카드	
ITEM_20170515_014662	랭크 초기화권으로 초기화된 마지막 랭크의 클래스 경험치를 복구합니다. 랭크 초기화권 사용 당시의 랭크일 때만 사용 가능합니다.	
ITEM_20170515_014663	대형 HP포션	
ITEM_20170515_014664	HP를 1474 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1474 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014665	특대형 HP포션	
ITEM_20170515_014666	HP를 2212 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2212 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014667	대형 SP포션	
ITEM_20170515_014668	SP를 489 즉시 회복시키고 2초 간격으로 15초 동안 SP를 489 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014669	특대형 SP포션	
ITEM_20170515_014670	SP를 734 즉시 회복시키고 2초 간격으로 15초 동안 SP를 734 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014671	Lv 280 경험치 부스터	
ITEM_20170515_014672	캐릭터 경험치 1,188,337,767 상승합니다. 마우스 오른쪽 클릭으로 사용합니다.	
ITEM_20170515_014673	HP를 1152 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1152 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006732	HP를 800 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1120 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 45초.	
ITEM_20170515_014674	SP를 384 즉시 회복시키고 2초 간격으로 15초 동안 SP를 384 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006733	SP를 320 즉시 회복시키고 2초 간격으로 15초 동안 SP를 448 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014675	HP를 1267 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1267 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006735	HP를 880 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1232 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014676	HP를 1382 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1382 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006736	HP를 960 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1344 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014677	HP를 1497 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1497 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006737	HP를 1040 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1456 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014678	HP를 1613 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1613 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006738	HP를 1120 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1568 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014679	HP를 1728 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1728 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006739	HP를 1200 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1680 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014680	HP를 1843 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1843 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006740	HP를 1280 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1792 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014681	HP를 1958 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1958 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006741	HP를 1360 즉시 회복시키고 2초 간격으로 15초 동안 HP를 1904 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014682	HP를 2073 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2073 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006742	HP를 1440 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2016 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014683	HP를 2189 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2189 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006743	HP를 1520 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2128 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014684	HP를 2304 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2304 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006744	HP를 1600 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2240 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014685	HP를 2419 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2419 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006745	HP를 1680 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2352 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014686	HP를 2534 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2534 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006746	HP를 1760 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2464 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014687	HP를 2649 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2649 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006747	HP를 1840 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2576 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014688	HP를 2765 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2765 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006748	HP를 1920 즉시 회복시키고 2초 간격으로 15초 동안 HP를 2688 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014689	SP를 420 즉시 회복시키고 2초 간격으로 15초 동안 SP를 420 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006749	SP를 350 즉시 회복시키고 2초 간격으로 15초 동안 SP를 490 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014690	SP를 456 즉시 회복시키고 2초 간격으로 15초 동안 SP를 456 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006750	SP를 380 즉시 회복시키고 2초 간격으로 15초 동안 SP를 532 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014691	SP를 498 즉시 회복시키고 2초 간격으로 15초 동안 SP를 498 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006751	SP를 415 즉시 회복시키고 2초 간격으로 15초 동안 SP를 581 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014692	SP를 534 즉시 회복시키고 2초 간격으로 15초 동안 SP를 534 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006752	SP를 445 즉시 회복시키고 2초 간격으로 15초 동안 SP를 623 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014693	SP를 576 즉시 회복시키고 2초 간격으로 15초 동안 SP를 576 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006753	SP를 480 즉시 회복시키고 2초 간격으로 15초 동안 SP를 672 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014694	SP를 612 즉시 회복시키고 2초 간격으로 15초 동안 SP를 612 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006754	SP를 510 즉시 회복시키고 2초 간격으로 15초 동안 SP를 714 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014695	SP를 648 즉시 회복시키고 2초 간격으로 15초 동안 SP를 648 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006755	SP를 540 즉시 회복시키고 2초 간격으로 15초 동안 SP를 756 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014696	SP를 690 즉시 회복시키고 2초 간격으로 15초 동안 SP를 690 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006756	SP를 575 즉시 회복시키고 2초 간격으로 15초 동안 SP를 805 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014697	SP를 726 즉시 회복시키고 2초 간격으로 15초 동안 SP를 726 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006757	SP를 605 즉시 회복시키고 2초 간격으로 15초 동안 SP를 847 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014698	SP를 768 즉시 회복시키고 2초 간격으로 15초 동안 SP를 768 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006758	SP를 640 즉시 회복시키고 2초 간격으로 15초 동안 SP를 896 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014699	SP를 804 즉시 회복시키고 2초 간격으로 15초 동안 SP를 804 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006759	SP를 670 즉시 회복시키고 2초 간격으로 15초 동안 SP를 938 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014700	SP를 840 즉시 회복시키고 2초 간격으로 15초 동안 SP를 840 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006760	SP를 700 즉시 회복시키고 2초 간격으로 15초 동안 SP를 980 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014701	SP를 882 즉시 회복시키고 2초 간격으로 15초 동안 SP를 882 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006761	SP를 735 즉시 회복시키고 2초 간격으로 15초 동안 SP를 1029 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014702	SP를 918 즉시 회복시키고 2초 간격으로 15초 동안 SP를 918 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	ITEM_20150904_006762	SP를 765 즉시 회복시키고 2초 간격으로 15초 동안 SP를 1071 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 30초.	
ITEM_20170515_014703	1분 동안 최대 SP를 250 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 62 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011748	3분 동안 최대 SP를 1250 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 625 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014704	1분 동안 최대 SP를 374 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 93 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011750	3분 동안 최대 SP를 1870 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 935 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014705	1분 동안 최대 SP를 498 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 124 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011752	3분 동안 최대 SP를 2490 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 1245 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014706	1분 동안 최대 SP를 622 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 155 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011754	3분 동안 최대 SP를 3110 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 1555 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014707	1분 동안 최대 SP를 746 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 186 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011756	3분 동안 최대 SP를 3730 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 1865 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014708	1분 동안 최대 SP를 870 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 217 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011758	3분 동안 최대 SP를 4350 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 2175 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014709	1분 동안 최대 SP를 994 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 248 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011760	3분 동안 최대 SP를 4970 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 2485 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014710	1분 동안 최대 SP를 1118 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 279 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011762	3분 동안 최대 SP를 5590 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 2795 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014711	1분 동안 최대 SP를 1242 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 310 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011764	3분 동안 최대 SP를 6210 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 3105 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014712	1분 동안 최대 SP를 1366 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 341 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011766	3분 동안 최대 SP를 6830 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 3415 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014713	1분 동안 최대 SP를 1490 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 372 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011768	3분 동안 최대 SP를 7450 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 3725 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014714	1분 동안 최대 SP를 1614 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 403 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011770	3분 동안 최대 SP를 8070 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 4035 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014715	1분 동안 최대 SP를 1738 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 434 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011772	3분 동안 최대 SP를 8690 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 4345 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014716	1분 동안 최대 SP를 1862 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 465 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011774	3분 동안 최대 SP를 9310 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 4655 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014717	1분 동안 최대 SP를 1986 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 496 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011776	3분 동안 최대 SP를 9930 만큼 상승시켜줍니다. 추가적으로 SP 회복력을 4965 만큼 증가시킵니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014718	1분 동안 최대 HP를 625 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 12 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011778	3분 동안 최대 HP를 1250 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 25 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014719	1분 동안 최대 HP를 925 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 18 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011780	3분 동안 최대 HP를 1850 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 37 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014720	1분 동안 최대 HP를 1225 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 24 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011782	3분 동안 최대 HP를 2450 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 49 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
ITEM_20170515_014721	1분 동안 최대 HP를 1525 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 30 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 180초.	ITEM_20161012_011784	3분 동안 최대 HP를 3050 만큼 증가시키고, 추가적으로 물리 방어력과 마법 방어력을 61 씩 증가시켜 줍니다. 마우스 오른쪽 클릭으로 사용 가능합니다. 재사용 대기시간 120초.	
