SKILL_20180327_000001	Attack	공격	
SKILL_20190110_009192	Esquive Toucher Nv1 ou mais	에스뀌브 뚜슈 1레벨 이상	
SKILL_20190110_009193	Flanconnade Nv1 ou mais	플랑코나드 1레벨 이상	
SKILL_20190110_009194	Attaque Composee Nv1 ou mais	아따끄 꽁뽀제 1레벨 이상	
SKILL_20190110_009195	Balestra Fente Nv1 ou mais	발레스트라 팡트 1레벨 이상	
SKILL_20190110_009196	Epee Garde Nv1 ou mais	에페 갸르드 1레벨 이상	
SKILL_20190110_009197	Fleche Nv1 ou mais	플레쉬 1레벨 이상	
SKILL_20190110_009198	Character Nv1 ou mais	캐릭터 레벨 1이상	
SKILL_20190110_009199	Fireball Nv1 ou mais	파이어볼 1레벨 이상	SKILL_20180327_005278	Pyromancer 1st Circle required	파이로맨서 1서클 필요	
SKILL_20190110_009200	Fire Wall Nv1 ou mais	파이어 월 1레벨 이상	SKILL_20180327_005278	Pyromancer 1st Circle required	파이로맨서 1서클 필요	
SKILL_20190110_009201	Flame Ground Nv1 ou mais	플레임 그라운드 1레벨 이상	SKILL_20180327_005278	Pyromancer 1st Circle required	파이로맨서 1서클 필요	
SKILL_20190110_009202	Fire Pillar Nv1 ou mais	파이어 필라 1레벨 이상	SKILL_20180327_005259	需要烈焰法師 2階	파이로맨서 2서클 필요	
SKILL_20190110_009203	Hell Breath Nv1 ou mais	헬 브레쓰 1레벨 이상	SKILL_20180327_005279	需要烈焰法師 3階	파이로맨서 3서클 필요	
SKILL_20190110_009204	Prominence Nv1 ou mais	홍염 1레벨 이상	
SKILL_20190110_009205	Broadhead Nv1 ou mais	브로드 헤드 1레벨 이상	SKILL_20180327_005280	Fletcher 1st Circle required	플레쳐 1서클 필요	
SKILL_20190110_009206	Bodkin Point Nv1 ou mais	보드킨 포인트 1레벨 이상	SKILL_20180327_005280	Fletcher 1st Circle required	플레쳐 1서클 필요	
SKILL_20190110_009207	Barbed Arrow Nv1 ou mais	바브드 애로우 1레벨 이상	SKILL_20180327_005280	Fletcher 1st Circle required	플레쳐 1서클 필요	
SKILL_20190110_009208	Crossfire Nv1 ou mais	크로스파이어 1레벨 이상	SKILL_20180327_005280	Fletcher 1st Circle required	플레쳐 1서클 필요	
SKILL_20190110_009209	Magic Arrow Nv1 ou mais	매직 애로우 1레벨 이상	SKILL_20180327_005281	需要造箭者 2階	플레쳐 2서클 필요	
SKILL_20190110_009210	Divine Machine Arrow Nv1 ou mais	신기전 1레벨 이상	SKILL_20180327_005282	需要造箭者 3階	플레쳐 3서클 필요	
SKILL_20190110_009211	Ice Bolt Nv1 ou mais	아이스 볼트 1레벨 이상	SKILL_20180327_005283	Cryomancer 1st Circle required	크리오맨서 1서클 필요	
SKILL_20190110_009212	Ice Pike Nv1 ou mais	아이스 파이크 1레벨 이상	SKILL_20180327_005283	Cryomancer 1st Circle required	크리오맨서 1서클 필요	
SKILL_20190110_009213	Ice Blast Nv1 ou mais	아이스 블래스트 1레벨 이상	SKILL_20180327_005283	Cryomancer 1st Circle required	크리오맨서 1서클 필요	
SKILL_20190110_009214	Snow Rolling Nv1 ou mais	스노우 롤링 1레벨 이상	SKILL_20180327_005260	需要寒冰法師 2階	크리오맨서 2서클 필요	
SKILL_20190110_009215	Frost Pillar Nv1 ou mais	프로스트 필라 1레벨 이상	SKILL_20180327_005284	需要寒冰法師 3階	크리오맨서 3서클 필요	
SKILL_20190110_009216	Skarphuggning Nv1 ou mais	스칼푸그닝 1레벨 이상	SKILL_20180327_005285	Hackapell 1st Circle Required	하카펠 1서클 필요	
SKILL_20190110_009217	Cavalry Charge Nv1 ou mais	카발리 차지 1레벨 이상	SKILL_20180327_005285	Hackapell 1st Circle Required	하카펠 1서클 필요	
SKILL_20190110_009218	Grind Cutter Nv1 ou mais	그라인드 커터 1레벨 이상	SKILL_20180327_005286	Hackapell 2nd Circle Required	하카펠 2서클 필요	
SKILL_20190110_009219	Infinite Assault Nv1 ou mais	인피니트 어썰트 1레벨 이상	SKILL_20180822_007010	Requires Hackapell Circle 3	하카펠 3서클 필요	
SKILL_20190110_009220	Helm Copper Nv1 ou mais	헬름 쵸퍼 1레벨 이상	
SKILL_20190110_009221	Storm Bolt Nv1 ou mais	스톰 볼트 1레벨 이상	
SKILL_20190110_009222	Wagon Wheel Nv1 ou mais	수레바퀴 1레벨 이상	SKILL_20180327_005287	Highlander 1st Circle required	하이랜더 1서클 필요	
SKILL_20190110_009223	Cartar Stroke Nv1 ou mais	카타 스트로크 1레벨 이상	SKILL_20180327_005287	Highlander 1st Circle required	하이랜더 1서클 필요	
SKILL_20190110_009224	Cartar Stroke Nv3 ou mais	카타 스트로크 3레벨 이상	
SKILL_20190110_009225	Crown Nv1 ou mais	크라운 1레벨 이상	SKILL_20180327_005287	Highlander 1st Circle required	하이랜더 1서클 필요	
SKILL_20190110_009226	Cross Guard Nv1 ou mais	크로스 가드 3레벨 이상	SKILL_20180327_005290	Lv3 Cross Guard required	크로스 가드 3레벨 필요	
SKILL_20190110_009227	Moulinet Nv1 ou mais	뮬리넷 1레벨 이상	SKILL_20180327_005288	Highlander 2nd Circle required	하이랜더 2서클 필요	
SKILL_20190110_009228	Skyliner Nv1 ou mais	스카이 라이너 1레벨 이상	SKILL_20180327_005288	Highlander 2nd Circle required	하이랜더 2서클 필요	
SKILL_20190110_009229	Crosscut Nv1 ou mais	크로스컷 1레벨 이상	SKILL_20180327_005288	Highlander 2nd Circle required	하이랜더 2서클 필요	
SKILL_20190110_009230	Crosscut Nv7 ou mais	크로스컷 7레벨 이상	
SKILL_20190110_009231	Pierce Nv1 ou mais	피어스 1레벨 이상	
SKILL_20190110_009232	Synchro Thrusting Nv1 ou mais	양손 찌르기 1레벨 이상	
SKILL_20190110_009233	Sharp Spear Nv1 ou mais	샤프 스피어 1레벨 이상	
SKILL_20190110_009234	Spear Throw Nv1 ou mais	투창 1레벨 이상	
SKILL_20190110_009235	Spear Lunge Nv1 ou mais	스피어 런지 1레벨 이상	
SKILL_20190110_009236	Finestra Nv1 ou mais	피네스트라 1레벨 이상	
SKILL_20190110_009237	Stabbing Nv1 ou mais	스태빙 1레벨 이상	
SKILL_20190110_009238	Coursing Nv1 ou mais	코싱 1레벨 이상	SKILL_20180327_005296	Hunter 1st Circle required	헌터 1서클 필요	
SKILL_20190110_009239	Rush Dog Nv1 ou mais	러시 도그 1레벨 이상	
SKILL_20190110_009240	Retrieve Nv1 ou mais	리트리브 1레벨 이상	
SKILL_20190110_009241	Howling Nv1 ou mais	하울링 1레벨 이상	
SKILL_20190110_009242	God Smash Nv1 ou mais	갓 스매시 1레벨 이상	SKILL_20180327_005298	Inquisitor 1st Circle Required	인퀴지터 1서클 필요	
SKILL_20190110_009243	Pear of Anguish Nv1 ou mais	절망의 배 1레벨 이상	SKILL_20180327_005298	Inquisitor 1st Circle Required	인퀴지터 1서클 필요	
SKILL_20190110_009244	Breaking Wheel Nv1 ou mais	브레이킹 휠 1레벨 이상	SKILL_20180327_005298	Inquisitor 1st Circle Required	인퀴지터 1서클 필요	
SKILL_20190110_009245	Malleus Maleficarum Nv1 ou mais	마도 심판 1레벨 이상	SKILL_20180327_005298	Inquisitor 1st Circle Required	인퀴지터 1서클 필요	
SKILL_20190110_009246	Ripper Nv1 ou mais	브레스트 리퍼 1레벨 이상	SKILL_20180822_007012	Requires Inquisitor Circle 3	인퀴지터 3서클 필요	
SKILL_20190110_009247	Ein Sof Nv1 ou mais	아인 소프 1레벨 이상	
SKILL_20190110_009248	Merkabah Nv1 ou mais	메르카바 1레벨 이상	
SKILL_20190110_009249	Personagem Nv150 ou mais	캐릭터 150레벨 이상	
SKILL_20190110_009250	Nachash Nv1 ou mais	나하시 1레벨 이상	
SKILL_20190110_009251	Tree of Sepiroth Nv1 ou mais	세피로트의 나무 1레벨 이상	
SKILL_20190110_009252	Aukuras Nv1 ou mais	아우쿠라스 1레벨 이상	SKILL_20180327_005305	Lv3 Aukuras required	아우쿠라스 3레벨 필요	
SKILL_20190110_009253	Zalciai Nv1 ou mais	잘챠이 1레벨 이상	SKILL_20180327_005307	Lv. 3 Zalciai required	잘챠이 3레벨 필요	
SKILL_20190110_009254	Zaibas Nv1 ou mais	자이바스 1레벨 이상	SKILL_20180327_005304	Krivis 1st Circle required	크리비 1서클 필요	
SKILL_20190110_009255	Divine Stigma Nv1 ou mais	디바인 스티그마 1레벨 이상	SKILL_20180327_005306	需要聖火祭司 2階	크리비 2서클 필요	
SKILL_20190110_009256	Crush Nv1 ou mais	크러시 1레벨 이상	SKILL_20180327_005310	Lancer 1st Circle Required	랜서 1서클 필요	
SKILL_20190110_009257	Joust Nv1 ou mais	자우스트 1레벨 이상	
SKILL_20190110_009258	Unhorsing Nv1 ou mais	낙마 공격 1레벨 이상	
SKILL_20190110_009259	Quintain Nv1 ou mais	퀸테인 1레벨 이상	
SKILL_20190110_009260	Initiate Nv1 ou mais	개시 1레벨 이상	
SKILL_20190110_009261	Rhongomiant Nv1 ou mais	롱고미안트 1레벨 이상	
SKILL_20190110_009262	Gigante Marcha Nv1 ou mais	기간테 마르샤 1레벨 이상	
SKILL_20190110_009263	Muleta Nv1 ou mais	물레타 1레벨 이상	SKILL_20180327_005316	Matador 1st Circle Required	마타도르 1서클 필요	
SKILL_20190110_009264	Faena Nv1 ou mais	파에나 1레벨 이상	
SKILL_20190110_009265	Capote Nv1 ou mais	카포티 1레벨 이상	
SKILL_20190110_009266	Ole Nv1 ou mais	올레 1레벨 이상	
SKILL_20190110_009267	Paso Doble Nv1 ou mais	파소 도블레 1레벨 이상	SKILL_20180327_005317	Matador 2nd Circle Required	마타도르 2서클 필요	
SKILL_20190110_009268	Paso Doble Nv1 ou mais	파소 도블레 3레벨 이상	SKILL_20180327_005317	Matador 2nd Circle Required	마타도르 2서클 필요	
SKILL_20190110_009269	Corrida Finale Nv1 ou mais	코리다 피날레 1레벨 이상	
SKILL_20190110_009270	Spread Shot Nv1 ou mais	스프레드 샷 1레벨 이상	SKILL_20180327_005318	Mergen 1st Circle Required	메르겐 1서클 필요	
SKILL_20190110_009271	Targeted Arrow Nv1 ou mais	호밍 애로우 1레벨 이상	SKILL_20180327_005318	Mergen 1st Circle Required	메르겐 1서클 필요	
SKILL_20190110_009272	Triple Arrow Nv1 ou mais	트리플 애로우 1레벨 이상	
SKILL_20190110_009273	Triple Arrow Nv5 ou mais	트리플 애로우 5레벨 이상	
SKILL_20190110_009274	Arrow Sprinkle Nv1 ou mais	화살비 1레벨 이상	
SKILL_20190110_009275	Down Fall Nv1 ou mais	다운 폴 1레벨 이상	
SKILL_20190110_009276	Down Fall Nv5 ou mais	다운 폴 5레벨 이상	
SKILL_20190110_009277	Jump Shot Nv1 ou mais	도약 사격 1레벨 이상	
SKILL_20190110_009278	Zenith Nv1 ou mais	제니쓰 1레벨 이상	
SKILL_20190110_009279	Gohei Nv1 ou mais	고헤이 1레벨 이상	SKILL_20180327_005320	Miko 1st Circle required	무녀 1서클 필요	
SKILL_20190110_009280	Hamaya Nv1 ou mais	하마야 1레벨 이상	
SKILL_20190110_009281	Omikuji Nv1 ou mais	오미쿠지 1레벨 이상	
SKILL_20190110_009282	Double Punch Nv1 ou mais	쌍쇄공 1레벨 이상	SKILL_20180327_005321	Monk 1st Circle required	몽크 1서클 필요	
SKILL_20190110_009283	Palm Strike Nv1 ou mais	철사장 1레벨 이상	SKILL_20180327_005321	Monk 1st Circle required	몽크 1서클 필요	
SKILL_20190110_009284	Hand Knife Nv1 ou mais	관음장 1레벨 이상	SKILL_20180327_005321	Monk 1st Circle required	몽크 1서클 필요	
SKILL_20190110_009285	Energy Blast Nv1 ou mais	양광수 1레벨 이상	SKILL_20180327_005322	需要武僧 2階	몽크 2서클 필요	
SKILL_20190110_009286	One Inch Punch Nv1 ou mais	촌경 1레벨 이상	SKILL_20180327_005322	需要武僧 2階	몽크 2서클 필요	
SKILL_20190110_009287	God Finger Flick Nv1 ou mais	탄지신통 1레벨 이상	SKILL_20180327_005322	需要武僧 2階	몽크 2서클 필요	
SKILL_20190110_009288	Frenzied Slash Nv1 ou mais	프렌지드 슬래시 1레벨 이상	SKILL_20180327_005324	Murmillo 1st Circle Required	무르밀로 1서클 필요	
SKILL_20190110_009289	Evade Thrust Nv1 ou mais	이베이드 쓰러스트 1레벨 이상	SKILL_20180327_005324	Murmillo 1st Circle Required	무르밀로 1서클 필요	
SKILL_20190110_009290	Headbutt Nv1 ou mais	헤드버트 1레벨 이상	SKILL_20180327_005324	Murmillo 1st Circle Required	무르밀로 1서클 필요	
SKILL_20190110_009291	Scutum Hit Nv1 ou mais	스큐텀 힛 1레벨 이상	SKILL_20180327_005324	Murmillo 1st Circle Required	무르밀로 1서클 필요	
SKILL_20190110_009292	Shield Train Nv1 ou mais	실드 트레인 1레벨 이상	
SKILL_20190110_009293	Emperor's Bane Nv1 ou mais	엠퍼러즈 베인 1레벨 이상	SKILL_20180822_007019	Requires Murmillo Circle 3	무르밀로 3서클 필요	
SKILL_20190110_009294	Covering Fire Nv1 ou mais	커버링 파이어 1레벨 이상	SKILL_20180327_005326	Musketeer 1st Circle required	머스킷티어 1서클 필요	
SKILL_20190110_009295	Headshot Nv1 ou mais	헤드 샷 1레벨 이상	SKILL_20180327_005326	Musketeer 1st Circle required	머스킷티어 1서클 필요	
SKILL_20190110_009296	Snipe Nv1 ou mais	스나이프 1레벨 이상	SKILL_20180327_005327	Musketeer 2nd Circle Required	머스킷티어 2서클 필요	
SKILL_20190110_009297	Penetration Shot Nv1 ou mais	페네트레이션 샷 1레벨 이상	SKILL_20180327_005326	Musketeer 1st Circle required	머스킷티어 1서클 필요	
SKILL_20190110_009298	Penetration Shot Nv10 ou mais	페네트레이션 샷 10레벨 이상	SKILL_20180327_005328	Musketeer 3rd Circle Required	머스킷티어 3서클 필요	
SKILL_20190110_009299	Volley Fire Nv1 ou mais	발리 파이어 1레벨 이상	SKILL_20180327_005327	Musketeer 2nd Circle Required	머스킷티어 2서클 필요	
SKILL_20190110_009300	Te Kha Nv1 ou mais	때카 1레벨 이상	SKILL_20180327_005329	Nak Muay C1 required	낙무아이 1서클 필요	
SKILL_20190110_009301	Sok Chiang Nv1 ou mais	쏙콴 1레벨 이상	SKILL_20180327_005329	Nak Muay C1 required	낙무아이 1서클 필요	
SKILL_20190110_009302	Te Trong Nv1 ou mais	때트롱 1레벨 이상	SKILL_20180327_005329	Nak Muay C1 required	낙무아이 1서클 필요	
SKILL_20190110_009303	Khao Loi Nv1 ou mais	카오로이 1레벨 이상	SKILL_20180327_005329	Nak Muay C1 required	낙무아이 1서클 필요	
SKILL_20190110_009304	Ram Muay Nv1 ou mais	람무아이 1레벨 이상	
SKILL_20190110_009305	Gather Corpse Nv1 ou mais	게더 콥스 1레벨 이상	SKILL_20180327_005331	Necromancer 1st Circle required	네크로맨서 1서클 필요	
SKILL_20190110_009306	Create Shoggoth Nv1 ou mais	쇼고스 만들기 1레벨 이상	
SKILL_20190110_009307	Create Shoggoth Nv3 ou mais	쇼고스 만들기 3레벨 이상	SKILL_20180327_005332	Lv. 2 Create Shoggoth required	쇼고스 만들기 2레벨 필요	
SKILL_20190110_009308	Flesh Hoop Nv1 ou mais	플레시 후프 1레벨 이상	
SKILL_20190110_009309	Raise Skull Soldier Nv1 ou mais	해골 병사 만들기 1레벨 이상	
SKILL_20190110_009310	Corpse Tower Nv1 ou mais	콥스 타워 1레벨 이상	
SKILL_20190110_009311	Flesh Cannon Nv1 ou mais	플레시 캐논 1레벨 이상	
SKILL_20190110_009312	Raise Skull Archer Nv1 ou mais	헤골 궁수 만들기 1레벨 이상	
SKILL_20190110_009313	Fire Fox Shikigami Nv1 ou mais	불여우 식신령 1레벨 이상	
SKILL_20190110_009314	Greenwood Shikigami Nv1 ou mais	생목의 식신령 1레벨 이상	SKILL_20180412_005578	Requires Onmyoji Circle 1	음양사 1서클 필요	
SKILL_20190110_009315	Howling White Tiger Nv1 ou mais	백호령 1레벨 이상	SKILL_20180412_005578	Requires Onmyoji Circle 1	음양사 1서클 필요	
SKILL_20190110_009316	Water Shikigami Nv1 ou mais	살수의 식신령 1레벨 이상	SKILL_20180412_005578	Requires Onmyoji Circle 1	음양사 1서클 필요	
SKILL_20190110_009317	Toyou Nv1 ou mais	토용 1레벨 이상	SKILL_20180412_005580	Requires Onmyoji Circle 2	음양사 2서클 필요	
SKILL_20190110_009318	Yin Yang Harmony Nv1 ou mais	음양조화 1레벨 이상	SKILL_20180822_007021	Requires Onmyoji Circle 3	음양사 3서클 필요	
SKILL_20190110_009319	Counter Spell Nv1 ou mais	카운터 스펠 1레벨 이상	
SKILL_20190110_009320	Death Sentence Nv1 ou mais	죽음의 선고 1레벨 이상	
SKILL_20190110_009321	Divine Might Nv10 ou mais	디바인 마이트 10레벨 이상	
SKILL_20190110_009322	Twist of Fate Nv1 ou mais	트위스트 오브 페이트 1레벨 이상	
SKILL_20190110_009323	Throw Sand Nv1 ou mais	모래 뿌리기 1레벨 이상	
SKILL_20190110_009324	Brick Smash Nv1 ou mais	벽돌 깨기 1레벨 이상	
SKILL_20190110_009325	Mangle Nv1 ou mais	난도질 1레벨 이상	
SKILL_20190110_009326	Blindfire Nv1 ou mais	난사 1레벨 이상	
SKILL_20190110_009327	Bully Nv1 ou mais	농락 1레벨 이상	
SKILL_20190110_009328	Rampage Nv1 ou mais	난동 부리기 1레벨 이상	
SKILL_20190110_009329	Stone Skin Nv1 ou mais	스톤 스킨 1레벨 이상	
SKILL_20190110_009330	Restoration Nv1 ou mais	리스토레이션 1레벨 이상	
SKILL_20190110_009331	Resist Elements Nv1 ou mais	레지스트 엘리멘츠 1레벨 이상	
SKILL_20190110_009332	Conviction Nv1 ou mais	컨빅션 1레벨 이상	
SKILL_20190110_009333	Sanctuary Nv1 ou mais	생츄어리 1레벨 이상	
SKILL_20190110_009334	Demolition Nv1 ou mais	데몰리션 1레벨 이상	
SKILL_20190110_009335	Indulgentia Nv1 ou mais	인둘겐티아 1레벨 이상	SKILL_20180327_005343	Pardoner 1st Circle required	파드너 1서클 필요	
SKILL_20190110_009336	Discerning Evil Nv1 ou mais	디서닝 이블 1레벨 이상	
SKILL_20190110_009337	Increase Magic Defense Nv1 ou mais	마법 방어력 증가 1레벨 이상	
SKILL_20190110_009338	Dekatos Nv1 ou mais	데카토스 1레벨 이상	
SKILL_20190110_009339	Umbo Blow Nv1 ou mais	엄보 블로 1레벨 이상	SKILL_20180327_005347	Peltasta 1st Circle required	펠타스타 1서클 필요	
SKILL_20190110_009340	Umbo Blow Nv5 ou mais	엄보 블로 5레벨 이상	
SKILL_20190110_009341	Rim Blow Nv1 ou mais	림 블로 1레벨 이상	SKILL_20180327_005347	Peltasta 1st Circle required	펠타스타 1서클 필요	
SKILL_20190110_009342	Rim Blow Nv3 ou mais	림 블로 3레벨 이상	
SKILL_20190110_009343	Guardian Nv1 ou mais	가디언 1레벨 이상	
SKILL_20190110_009344	Shield Lob Nv1 ou mais	실드 로브 1레벨 이상	SKILL_20180327_005348	Peltasta 2nd Circle required	펠타스타 2서클 필요	
SKILL_20190110_009345	High Guard Nv1 ou mais	하이 가드 1레벨 이상	
SKILL_20190110_009346	Hard Shield Nv1 ou mais	하드 실드 1레벨 이상	
SKILL_20190110_009347	Hypnotische Floete Nv10 ou mais	힙노티쉐 플뢰테 10레벨 이상	SKILL_20180822_007023	Requires Pied Piper Circle 3	파이드 파이퍼 3서클 필요	
SKILL_20190110_009348	Hameln Nagetier Nv1 ou mais	하멜른 나게티어 1레벨 이상	SKILL_20180705_006592	Requires Pied Piper Circle 1	파이드 파이퍼 1서클 필요	
SKILL_20190110_009349	Hameln Nagetier Nv5 ou mais	하멜른 나게티어 5레벨 이상	SKILL_20180705_006593	Requires Pied Piper Circle 2	파이드 파이퍼 2서클 필요	
SKILL_20190110_009350	Incineration Nv1 ou mais	소각 1레벨 이상	SKILL_20180327_005352	Plague Doctor 1st Circle required	플레이그닥터 1서클 필요	
SKILL_20190110_009351	Modafinil Nv1 ou mais	모다피닐 1레벨 이상	
SKILL_20190110_009352	Black Death Steam Nv1 ou mais	흑사병 증기 1레벨 이상	SKILL_20180327_005353	Plague Doctor 2nd Circle Required	플레이그닥터 2서클 필요	
SKILL_20190110_009353	Aspersion Nv1 ou mais	아스퍼션 1레벨 이상	SKILL_20180327_005356	Priest 1st Circle required	프리스트 1서클 필요	
SKILL_20190110_009354	Monstrance Nv1 ou mais	몬스트런스 1레벨 이상	
SKILL_20190110_009355	Blessing Nv1 ou mais	블레싱 1레벨 이상	SKILL_20180327_005357	Lv3 Blessing required	블레싱 3레벨 필요	
SKILL_20190110_009356	Sacrament Nv1 ou mais	사크라멘트 1레벨 이상	
SKILL_20190110_009357	Mass Heal Nv1 ou mais	매스 힐 1레벨 이상	SKILL_20180327_005358	需要聖水祭司 2階	프리스트 2서클 필요	
SKILL_20190110_009358	Turn Undead Nv1 ou mais	턴 언데드 1레벨 이상	
SKILL_20190110_009359	Psychic Pressure Nv1 ou mais	사이킥 프레셔 1레벨 이상	SKILL_20180327_005361	Psychokino 1st Circle required	사이코키노 1서클 필요	
SKILL_20190110_009360	Magnetic Force Nv1 ou mais	마그네틱 포스 1레벨 이상	SKILL_20180327_005362	Psychokino 2nd Circle required	사이코키노 2서클 필요	
SKILL_20190110_009361	Gravity Pole Nv1 ou mais	그라비티 폴 1레벨 이상	SKILL_20180327_005363	Psychokino 3rd Circle required	사이코키노 3서클 필요	
SKILL_20190110_009362	Heavy Gravity Nv1 ou mais	헤비 그라비티 1레벨 이상	SKILL_20180327_005362	Psychokino 2nd Circle required	사이코키노 2서클 필요	
SKILL_20190110_009363	Deploy Pavise Nv5 ou mais	파비스 설치 5레벨 이상	
SKILL_20190110_009364	Scatter Caltrops Nv1 ou mais	캘트롭 뿌리기 1레벨 이상	SKILL_20180327_005364	Quarrel Shooter 1st Circle required	쿼렐슈터 1서클 필요	
SKILL_20190110_009365	Stone Shot Nv1 ou mais	스톤 샷 1레벨 이상	
SKILL_20190110_009366	Rapid Fire Nv1 ou mais	래피드 파이어 1레벨 이상	
SKILL_20190110_009367	Kneeling Shot Nv1 ou mais	닐링 샷 1레벨 이상	
SKILL_20190110_009368	Teardown Nv1 ou mais	철거 1레벨 이상	SKILL_20180327_005365	需要弩箭手 2階	쿼렐슈터 2서클 필요	
SKILL_20190110_009369	Block and Shoot Nv1 ou mais	블록 앤드 샷 1레벨 이상	
SKILL_20190110_009370	Barrage Nv1 ou mais	배라지 1레벨 이상	SKILL_20180327_005366	Ranger 1st Circle required	레인저 1서클 필요	
SKILL_20190110_009371	Barrage Nv5 ou mais	배라지 5레벨 이상	SKILL_20180327_005366	Ranger 1st Circle required	레인저 1서클 필요	
SKILL_20190110_009372	High Anchoring Nv1 ou mais	하이 앵커링 1레벨 이상	SKILL_20180327_005366	Ranger 1st Circle required	레인저 1서클 필요	
SKILL_20190110_009373	Steady Aim Nv1 ou mais	스테디 에임 1레벨 이상	
SKILL_20190110_009374	Critical Shot Nv1 ou mais	크리티컬 샷 1레벨 이상	
SKILL_20190110_009375	Spiral Arrow Nv1 ou mais	스파이럴 애로우 1레벨 이상	
SKILL_20190110_009376	Bounce Shot Nv1 ou mais	바운스 샷 1레벨 이상	SKILL_20180327_005369	需要遊俠 3階	레인저 3서클 필요	
SKILL_20190110_009377	Pull Rete Nv1 ou mais	투망 끌기 1레벨 이상	
SKILL_20190110_009378	Throw Rete Nv1 ou mais	투망 던지기 1레벨 이상	
SKILL_20190110_009379	Dagger Guard Nv1 ou mais	대거 가드 1레벨 이상	SKILL_20180412_005582	Requires Retiarius Circle 1	레티아리이 1서클 필요	
SKILL_20190110_009380	Trident Finish Nv1 ou mais	트라이던트 피니시 1레벨 이상	SKILL_20180412_005582	Requires Retiarius Circle 1	레티아리이 1서클 필요	
SKILL_20190110_009381	Disarm Nv1 ou mais	무장 해제 1레벨 이상	SKILL_20180412_005583	Requires Retiarius Circle 2	레티아리이 2서클 필요	
SKILL_20190110_009382	Dagger Finish Nv1 ou mais	대거 피니시 1레벨 이상	SKILL_20180412_005583	Requires Retiarius Circle 2	레티아리이 2서클 필요	
SKILL_20190110_009383	Blandir Cadena Nv1 ou mais	블란디르 카데나 1레벨 이상	
SKILL_20190110_009384	Shield Charge Nv1 ou mais	실드 차지 1레벨 이상	SKILL_20180327_005370	Rodelero 1st Circle required	로델레로 1서클 필요	
SKILL_20190110_009385	Montano Nv1 ou mais	몬타노 1레벨 이상	SKILL_20180327_005370	Rodelero 1st Circle required	로델레로 1서클 필요	
SKILL_20190110_009386	Targe Smash Nv1 ou mais	타지 스매시 1레벨 이상	SKILL_20180327_005370	Rodelero 1st Circle required	로델레로 1서클 필요	
SKILL_20190110_009387	Shield Push Nv1 ou mais	실드 푸시 1레벨 이상	SKILL_20180327_005370	Rodelero 1st Circle required	로델레로 1서클 필요	
SKILL_20190110_009388	Shield Shoving Nv1 ou mais	실드 셔빙 1레벨 이상	SKILL_20180327_005370	Rodelero 1st Circle required	로델레로 1서클 필요	
SKILL_20190110_009389	Shield Bash Nv1 ou mais	실드 배시 1레벨 이상	SKILL_20180327_005371	需要圓盾劍士 2階	로델레로 2서클 필요	
SKILL_20190110_009390	Slithering Nv1 ou mais	회피이동 1레벨 이상	SKILL_20180327_005371	需要圓盾劍士 2階	로델레로 2서클 필요	
SKILL_20190110_009391	Shooting Star Nv1 ou mais	슈팅스타 1레벨 이상	SKILL_20180327_005372	需要圓盾劍士 3階	로델레로 3서클 필요	
SKILL_20190110_009392	Sneak Hit Nv5 ou mais	스닉힛 5레벨 이상	SKILL_20180327_005373	Rogue 1st Circle required	로그 1서클 필요	
SKILL_20190110_009393	Lachrymator Nv5 ou mais	최루 5레벨 이상	
SKILL_20190110_009394	Backstab Nv1 ou mais	백스텝 1레벨 이상	
SKILL_20190110_009395	Burrow Nv1 ou mais	버로우 1레벨 이상	
SKILL_20190110_009396	Knife Throw Nv1 ou mais	나이프 쓰로잉 1레벨 이상	
SKILL_20190110_009397	Rune of Destruction Nv1 ou mais	파괴의 룬 1레벨 이상	SKILL_20180327_005377	Rune Caster 1st Circle required	룬캐스터 1서클 필요	
SKILL_20190110_009398	Rune of Justice Nv1 ou mais	정의의 룬 1레벨 이상	SKILL_20180327_005377	Rune Caster 1st Circle required	룬캐스터 1서클 필요	
SKILL_20190110_009399	Rune of Ice Nv1 ou mais	얼음의 룬 1레벨 이상	
SKILL_20190110_009400	Rune of Rock Nv1 ou mais	돌의 룬 1레벨 이상	
SKILL_20190110_009401	Rune of Protection Nv1 ou mais	보호의 룬 1레벨 이상	
SKILL_20190110_009402	Out of Body Nv1 ou mais	유체이탈 1레벨 이상	
SKILL_20190110_009403	Astral Body Explosion Nv1 ou mais	유체 폭발 1레벨 이상	
SKILL_20190110_009404	Vashita Siddhi Nv1 ou mais	바시타 싯디 1레벨 이상	
SKILL_20190110_009405	Possession Nv1 ou mais	포제션 1레벨 이상	
SKILL_20190110_009406	Micro Dimension Nv1 ou mais	마이크로 디멘션 1레벨 이상	SKILL_20180327_005382	Sage 1st Circle Required	세이지 1서클 필요	
SKILL_20190110_009407	Ultimate Dimension Nv1 ou mais	얼티밋 디멘션 1레벨 이상	SKILL_20180327_005382	Sage 1st Circle Required	세이지 1서클 필요	
SKILL_20190110_009408	Ultimate Dimension Nv5 ou mais	얼티밋 디멘션 5레벨 이상	SKILL_20180327_005382	Sage 1st Circle Required	세이지 1서클 필요	
SKILL_20190110_009409	Dimension Compression Nv1 ou mais	디멘션 컴프레션 1레벨 이상	SKILL_20180327_005383	Sage Circle 2 Required	세이지 2서클 필요	
