QUEST_LV_0500_20190419_000001	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.	케도라 상단원 이네타
QUEST_LV_0500_20210809_000866	그런 눈으로 보지 말아줘.{nl}난 바이보라 여신이 아니야, 그런 걸 주머니에서 꺼내줄 수 없다고.	파야우타
QUEST_LV_0500_20210809_000867	잠깐, 내게 좋은 생각이 있어.	파야우타
QUEST_LV_0500_20210809_000868	이곳의 마족들이 손에 쥐고 있는 물건들 봤어?{nl}녀석들을 손봐주고 그걸 좀 빌려 가는 게 어떨까?	파야우타
QUEST_LV_0500_20210809_000869	{nl}어차피 주인은 없어졌으니 돌려줄 필요도 없고 뒤탈은 없을 거 같은데 말이지.{nl}좋은 생각 같지 않아?	파야우타
QUEST_LV_0500_20210809_000870	역시 비범한 분들은 생각도 비범하군요!{nl}저는 여러분만 믿고 여기서 전령들을 안내하고 있겠습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000871	좋아 그럼 하나하나 모아볼까?{nl}일단 자재들은 내가 들고 있을 태니 네가 처리하는 게 좋겠어.	파야우타
QUEST_LV_0500_20210809_000872	우선 다르바스 캐리어에게 삽을 빌려오는 게 좋겠지?{nl}	파야우타
QUEST_LV_0500_20210809_000873	좋아, 이 정도면 영주님도 만족할 거야.{nl}다음은 어느녀석껄 빌려볼까..	파야우타
QUEST_LV_0500_20210809_000874	좋아, 저 녀석이 좋겠어.{nl}다르바스 마이너에게 곡괭이를 얻어볼까?	파야우타
QUEST_LV_0500_20210809_000875	몇 개는 좀 버리고 가야겠어.{nl}너무 무거우니까.	파야우타
QUEST_LV_0500_20210809_000876	마지막으로 하나만 더 구해보자.{nl}더 들고 다니긴 무리니까.	파야우타
QUEST_LV_0500_20210809_000877	다르바스 로더에게 이것저것 모을 수 있을 거 같은데..	파야우타
QUEST_LV_0500_20210809_000878	돌아오셨군요!{nl}어떤 걸 모아오셨습니까?{nl}분명 두 분이 힘을 합치셨으니 큰 도움이 되는 물건일 겁니다.{nl}어디보자..	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000879	삽.. 이건 손잡이가 부러졌군요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000880	곡괭이.. 이건 복구가 끝나면 광부들에게 유용하겠어요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000881	석재.. 이건.. 버리고 가는 게 좋겠군요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000882	단원을 대신하여 두 분의 노고에 감사드립니다.{nl}하지만 지금 당장 필요한 물건들은 아니군요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000883	파야우타는 뭔가 다른 것을 찾는 것 같다.	파야우타
QUEST_LV_0500_20210809_000884	너무 걱정하실 필요는 없습니다.{nl}두 분께서 오르샤에 있다는 것만으로 많은 주민들에게 희망이 되어줄 겁니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000885	아참, 두 분께서 물자를 구하러 가시는 동안 전령과 만났습니다.{nl}주변 숲 속에 오르샤로 도망치지 못하고 오두막에 숨어있는 주민들이 있을 거라고 하는군요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000886	{nl}저는 우선 파우피스 나루로 가볼까 합니다만..{nl}두 분께서는 어떻게 하시겠습니까?	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000887	이 길로 나아가면 파우피스 나루입니다.{nl}먼저 가 있을 태니 준비되시면 파우피스 나루 초입에서 뵙지요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000888	아, 오셨군요.{nl}오시기 전에 제가 잠시 둘러봤는데 마족들이 너무 많군요.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000889	옆 집은 연기가 나는 거로 봐선 얼마 전까지 사람이 있었나 봅니다.{nl}지금은 어떻게 된 건지..	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000890	두 분이 괜찮으시다면 이곳에서 나머지 수색을 부탁드리고 싶군요.{nl}저는 좀 더 깊은 숲으로 가서 전령과 주민들을 찾아봐야겠습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000891	이러고 있을 때가 아닌데..	파야우타
QUEST_LV_0500_20210809_000892	{nl}알겠어.{nl}가자.	파야우타
QUEST_LV_0500_20210809_000893	단원이 알려준 곳으로 우선 가보자.{nl}위치는 내가 지도에 표기해 뒀어.	파야우타
QUEST_LV_0500_20210809_000894	적어도 파우피스 나루에는 확인할 곳이 더 없는 것 같아.{nl}수고했어.	파야우타
QUEST_LV_0500_20210809_000895	그럼 동행은 여기까지만 할까?{nl}난 좀 더 이곳에서 확인해야 할 게 있어.{nl}넌 오르샤로 돌아갈꺼야?	파야우타
QUEST_LV_0500_20210809_000896	난감하군요..{nl}이 주변에 살아남은 마을도 오르샤보단 상황이 좋지 못하니 그들의 도움을 받을 수도 없습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000897	좋아, 그럼 단원 아저씨에게 우리 계획을 말해줘!{nl}난 옆에서 기다리고 있을게.	파야우타
QUEST_LV_0500_20210809_000898	음....	파야우타
QUEST_LV_0500_20210809_000899	성벽 보수하는 데 쓸만하겠는데.{nl}이제 복구반 단원에게 돌아가자.	파야우타
QUEST_LV_0500_20210809_000900	방금 모은 건 네가 들어줘.{nl}나머지는 내가 가지고 갈게.	파야우타
QUEST_LV_0500_20210809_000901	그래 주시겠습니까?{nl}두 분이 계셔서 정말 든든하군요.{nl}그럼 파우피스 나루 앞에서 뵙겠습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000902	역시 믿음직스럽군요!{nl}제가 사람들이 숨어있을 만한 곳을 알려드리겠습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000903	그럼 잘 부탁드립니다.{nl}두 분만 믿고 저는 먼저 가보겠습니다.	오르샤 피해복구반 단원
QUEST_LV_0500_20210809_000904	꾸물거리지 말고 어서 일을 끝내자.	파야우타
QUEST_LV_0500_20210809_000905	그래..{nl}그럼 좀 더 이 근처를 수색해볼까.	파야우타
QUEST_LV_0500_20210809_000906	뭔가 내가 찾는 걸 발견할 수 있을 거 같아.	파야우타
QUEST_LV_0500_20210809_000907	자네,{nl}성자의 기도소에 대해 들어본 적이 있는가?	채플린 마스터
QUEST_LV_0500_20210809_000908	전설적인 인물이셨던 대현자 실베스트로 메이번께서 살아생전 늘 기도를 올리시던 신성한 장소이지.	채플린 마스터
QUEST_LV_0500_20210809_000909	그곳이 정확히 어디에 있는지는 모르네.{nl}메이번께서 스스로 바라지 않는 한 그 누구에게도 기도소의 모습은 보이지 않거든.{nl}메이번께서 이 세상을 떠난 지 오랜 지금까지도 마찬가지라네.	채플린 마스터
QUEST_LV_0500_20210809_000910	그러나, 자네에게 이런 이야기를 하는 이유가 있네.{nl}신수의 날 당시 아발리스터 마스터인 빌리우스와 그 가족들이 오르샤 근방의 덧댄다리 숲에 있었네.{nl}그 당시 강력한 마족에게 쫓기다가 그의 가족들과 마족이 함께 의문의 폭발에 휩 싸이고는 감쪽같이 사라졌다고 하지.	채플린 마스터
QUEST_LV_0500_20210809_000911	성자의 기도소는 메이번께서 서품을 받았던 장소를 본따 만들었다고 전해지네.{nl}바로 그 장소가 지금은 메이번 대수도원으로 불리는 곳의 영광의 홀이라네.	채플린 마스터
QUEST_LV_0500_20210809_000912	마침, 빌리우스의 가족들이 사라진 지점과 메이번 대수도원은 지리적으로 꽤 가깝지.{nl}만약 그곳이 성자의 기도소라면..{nl}분명 메이번님의 뜻으로 그런 일이 벌어진 거로 생각하네.	채플린 마스터
QUEST_LV_0500_20210809_000913	마침 빌리우스가 오르샤의 상황을 듣고 덧댄다리 숲으로 갔으니 그를 만나보는 게 어떻겠나?	채플린 마스터
QUEST_LV_0500_20210809_000914	좋은 생각일세.{nl}빌리우스는 겉과 달리 마음속에 큰 짐을 지니고 있을게야.	채플린 마스터
QUEST_LV_0500_20210809_000915	어서 가서 그를 만나보게나.	채플린 마스터
QUEST_LV_0500_20210809_000916	성자의 기도소?	아발리스터 마스터
QUEST_LV_0500_20210809_000917	그렇다면 아직 그 마족이 살아 있을지도 모른다는 말이구나.	아발리스터 마스터
QUEST_LV_0500_20210809_000918	그렇다면 기꺼이 도움을 청할게.{nl}이제 와서 가족들이 살아있기까지는 바라지 않아.	아발리스터 마스터
QUEST_LV_0500_20210809_000919	다만,{nl}그 마족이 만에 하나 그곳을 빠져나오게 된다면..{nl}오르샤는 순식간에 쑥대밭이 될 거야.	아발리스터 마스터
QUEST_LV_0500_20210809_000920	단단히 준비하고 출발하자.	아발리스터 마스터
QUEST_LV_0500_20210809_000921	메이번께서 평생을 기도하던 장소라면..{nl}분명 대성당이나 여신을 모시는 성소에 버금가는 신성력이 존재하는 성역일걸세.	채플린 마스터
QUEST_LV_0500_20210809_000922	그런 장소라면 신수의 날로부터 몇 년이 지난 지금도 여전히 빌리우스의 가족들이 살아있을지도 모를 일이지.{nl}어쩌면 그 마족도 마찬가지겠지만..	채플린 마스터
QUEST_LV_0500_20210809_000923	어서 가서 빌리우스를 찾아보게.{nl}빌리우스는 덧댄다리 숲에 있다고 들었네.	채플린 마스터
QUEST_LV_0500_20210809_000924	오르샤의 상황을 듣고 도우러 왔어.{nl}여긴 내 가족들의 무덤이기도 해.{nl}그 어떤 마족에게도 넘겨줄 수 없어.	QUEST_20200128_011902	Now I'm here to help the convent work.{nl}I'll run wherever I need help.	지금은 여기서 수녀원의 일을 돕고 있어.{nl}도움이 필요한 곳이 있다면 언제든지 달려갈 생각이야.	아발리스터 마스터
QUEST_LV_0500_20210809_000925	하마터면 큰일 날 뻔했어.	파야우타
QUEST_LV_0500_20210809_000926	내가 어떻게 주시자의 활을 파괴했는지는 잘 모르겠지만..	파야우타
QUEST_LV_0500_20210809_000927	파울루스의 영혼은 결국 주시자가 가져간 거지?	파야우타
QUEST_LV_0500_20210809_000928	서둘러 델무어로 갈 준비를 하자.	파야우타
QUEST_LV_0500_20210809_000929	나 대신 오르샤 영주에게 여기서 모은 증거품들을 전해줄래?{nl}준비되면 델무어에서 다시 만나자.	파야우타
QUEST_LV_0500_20210809_000930	오르샤의 영주인 이네사 해먼데일에게 증거품들을 보여주자	PC
QUEST_LV_0500_20210809_000931	위기에 처한 오르샤를 위해서 애써주셔서 정말 감사합니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000932	이것들을 아샤크 지하 감옥에서 발견했다는 말씀이시군요.	이네사 해먼데일
QUEST_LV_0500_20210809_000933	감사합니다.{nl}마족의 반인격적인 실험으로부터 무고한 백성들의 목숨을 지키지 못했다고 생각하니 면목이 없군요..	이네사 해먼데일
QUEST_LV_0500_20210809_000934	델무어로 가기 위해 만반의 준비를 해야겠습니다.{nl}부디, 계사자께서 우리의 선봉에 서주시기를 바랍니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000935	계시자님.{nl}키렌 지방의 파우피스 나루 한쪽에 거대한 크루비나 장벽이 솟아오른 걸 혹시 보셨습니까?	이네사 해먼데일
QUEST_LV_0500_20210809_000936	그곳은 과거 아샤크 지하 감옥의 1층의 입구와 이어져 있던 길입니다.{nl}그런 곳에 어째서..{nl}너무나도 부자연스러운 현상이라고 생각합니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000937	다른 이에게 조사를 맡길 수도 있겠지만,{nl}유독 심상치 않은 커다란 크루비나인만큼 위험한 예감이 듭니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000938	계시자님께서 부디 조사해주셨으면 합니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000939	군말 없이 협조해주셔서 감사합니다.{nl}크루비나 장벽이 아샤크 지하 감옥 1층의 입구를 막고 있지만, {nl}샛길을 통한다면 아샤크 지하 감옥 2층으로 진입하실 수 있을 겁니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000940	거대 크루비나 장벽을 먼저 조사해보시고 아샤크 지하 감옥 2층으로 진입하시는 게 좋을 겁니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000941	거대한 크루비나 장벽이 아샤크 지하 감옥 1층으로 가는 길을 막아서고 있다	PC
QUEST_LV_0500_20210809_000942	샛길을 통한다면 아샤크 지하 감옥 2층으로 진입하실 수 있을 겁니다.	이네사 해먼데일
QUEST_LV_0500_20210809_000943	계시자?	파야우타
QUEST_LV_0500_20210809_000944	당신은 계시자라 불리는 사람이군요.	파울루스
QUEST_LV_0500_20210809_000945	간혹 주시자가 그렇게 불리는 사람들에 대한 이야기를 한 적이 있습니다.{nl}라이마 여신의 꿈을 꾼 사람들이라지요?{nl}제 동생 파야우타와 인연이 있으신 듯하네요.	파울루스
QUEST_LV_0500_20210809_000946	혹시 이곳을 조사하러 오신 거라면 제 동생을 도와주시겠습니까?{nl}저는 주시자를 따르는 마족들에게 보여서 좋을 게 없습니다.	파울루스
QUEST_LV_0500_20210809_000947	주변의 마족들은 이제 정리가 된 거 같네.{nl}이 정도면 좀 더 깊이 들어갈 수 있겠어.	파야우타
QUEST_LV_0500_20210809_000948	여기 있는 마족들의 복장을 봐봐.{nl}알케미스트나 플레이그 닥터랑 비슷한 느낌이야.	파야우타
QUEST_LV_0500_20210809_000949	파울루스가 말한 실험과 분명 연관이 있어.	파야우타
QUEST_LV_0500_20210809_000950	녀석들에게서 뭐라도 찾을 수 있을지도 몰라.	파야우타
QUEST_LV_0500_20210809_000951	모크슬라들이 뭐라도 가지고 있을 거야.{nl}녀석들을 잡아서 소지품을 보자.	파야우타
QUEST_LV_0500_20210809_000952	인간에 관한 연구 자료..{nl}이 중에서도 겹치는 내용이 꽤 있네.{nl}이 정도면 충분한 거 같아.	파야우타
QUEST_LV_0500_20210809_000953	증거물들은 내가 가지고 있을게.	파야우타
QUEST_LV_0500_20210809_000954	근처에 파울루스가 있을 거야.{nl}파울루스를 찾아보자.	파야우타
QUEST_LV_0500_20210809_000955	무사히 들어오셨군요.{nl}파야우타, 이 오빠를 대신해줘서 정말 고맙다.	파울루스
QUEST_LV_0500_20210809_000956	계시자님.{nl}이 근처에 보이시는 책장들은 모크슬라들이 연구의 기록지나 필요한 자료들을 보관하는 곳입니다.	파울루스
QUEST_LV_0500_20210809_000957	분명히 그 끔찍한 실험을 위해 필요했을 무언가가 있을 겁니다.	파울루스
QUEST_LV_0500_20210809_000958	자료를 찾으시면 다시 이곳으로 와주세요.{nl}저는 잠시 피해 있겠습니다.	파울루스
QUEST_LV_0500_20210809_000959	큅메이지의 연구라..	파울루스
QUEST_LV_0500_20210809_000960	큅 메이지는 마족이 된 인간이죠.{nl}주시자는 크루비나를 이용해 인간을 마족으로 만드는 실험을 강행했으니..	파울루스
QUEST_LV_0500_20210809_000961	그 자료는 확실한 증거가 될 겁니다.	파울루스
QUEST_LV_0500_20210809_000962	이 연구 자료도 내가 보관하고 있을게.	파야우타
QUEST_LV_0500_20210809_000963	실험에 희생당한 사람들의 소지품을 모크슬라들이 가지고 있을 겁니다.	파울루스
QUEST_LV_0500_20210809_000964	녀석들은 자기 주머니에 물건을 채워 넣는 습성이 있습니다.{nl}하지만 꼼꼼한 녀석들은 아니라 바닥에 곧, 잘 흘리고 다닙니다.	파울루스
QUEST_LV_0500_20210809_000965	바닥에 떨어진 모크슬라들의 주머니에서 죽은 사람들의 소지품을 찾아보세요.	파울루스
QUEST_LV_0500_20210809_000966	실험으로 죽은 사람들이 귀족이라면, 왕실에서도 예민한 반응을 보일 겁니다.{nl}중앙 통로는 모크슬라들이 자주 지나다니는 곳이니 주머니를 쉽게 찾으실 수 있을 겁니다.	파울루스
QUEST_LV_0500_20210809_000967	그리고 검사실에 가면 영혼 구속제라는 중요한 연구 재료가 보관되어 있을 겁니다.{nl}그곳에서 뵙죠.	파울루스
QUEST_LV_0500_20210809_000968	왕국이 무너지는 와중에도 보석이나 챙기고 있었다고 생각하니 조금은 우습네.	파야우타
QUEST_LV_0500_20210809_000969	내게 줘, 보관하고 있을게.	파야우타
QUEST_LV_0500_20210809_000970	파울루스는 영혼 구속제라는 중요한 연구 재료가 이 위에 있는 검사실에 있다고 했어.	파야우타
QUEST_LV_0500_20210809_000971	서둘러 검사실로 가자.	파야우타
QUEST_LV_0500_20210809_000972	영혼 구속제는 검사실에 보관되어 있을 거야.	파야우타
QUEST_LV_0500_20210809_000973	다행이야.{nl}보관함을 확인해 보자.	파야우타
QUEST_LV_0500_20210809_000974	이상해..{nl}왜 아무 반응도 없는 거지?	파야우타
QUEST_LV_0500_20210809_000975	파울루스의 영혼이 무사히 돌아왔다	PC
QUEST_LV_0500_20210809_000976	이런..{nl}제 영혼이 부서졌었나 보군요..	파울루스
QUEST_LV_0500_20210809_000977	파야우타, 걱정시켜서 미안하구나.{nl}계시자님께도 감사합니다.	파울루스
QUEST_LV_0500_20210809_000978	이 앞은 아샤크 지하 감옥 격리 구역으로 통하는 입구가 있습니다.{nl}그러나, 모크슬라 발도바스라는 모크슬라들의 우두머리가 그 안에 있어서 쉽지 않을 겁니다.	파울루스
QUEST_LV_0500_20210809_000979	모크슬라 발도바스를 이쪽으로 불러들이고 그 사이에 통과하는 게 좋겠습니다.{nl}계시자님께서 발도바스를 유인해주신다면,{nl}파야우타와 제가 먼저 격리 구역으로 진입해 계시자님이 무사히 따라 올 수 있도록 그곳을 정리해두겠습니다.	파울루스
QUEST_LV_0500_20210809_000980	의식을 잃었다{nl}파야우타의 상태를 확인하자	PC
QUEST_LV_0500_20210809_000981	미안..{nl}방심했어.	파야우타
QUEST_LV_0500_20210809_000982	파울루스는?	파야우타
QUEST_LV_0500_20210809_000983	몸이 말을 듣지 않아..{nl}너는 괜찮은 거야?	파야우타
QUEST_LV_0500_20210809_000984	부탁이야.{nl}주시자를 놓치지 마.	파야우타
QUEST_LV_0500_20210809_000985	비록 우리를 배신했지만 파울루스는 내 가족이야.{nl}파울루스의 영혼을 되찾아 줘.	파야우타
QUEST_LV_0500_20210809_000986	계시자님께서 레버를 사용해 발도바스를 유인해주신다면,{nl}파야우타와 제가 먼저 격리 구역으로 진입해 계시자님이 따라 올 수 있도록 그곳을 정리해두겠습니다.	파울루스
QUEST_LV_0500_20210809_000987	광기의 마르녹스가 도망가지 못하도록 파야우타와 양쪽으로 나뉘어 녀석을 몰아넣는 게 좋습니다.{nl}원하시는 방향으로 먼저 출발하시죠.	파울루스
QUEST_LV_0500_20210809_000988	의문의 이야기꾼	
QUEST_LV_0500_20210809_000989	{#FF0000}※ 영웅담 진행을 위한 튜토리얼 퀘스트입니다.{/}{nl}계시자 님 안녕하세요?	의문의 이야기꾼
QUEST_LV_0500_20210809_000990	계시자님에게 들려 드리고 싶은 이야기가 있어서 계시자님을 불렀습니다.	의문의 이야기꾼
QUEST_LV_0500_20210809_000991	어떠실까요?	의문의 이야기꾼
QUEST_LV_0500_20210809_000992	[영웅담] 남지 못한 이야기들	
QUEST_LV_0500_20210809_000993	이야기가 궁금하다고 한다	
QUEST_LV_0500_20210809_000994	지하에 감춘 비밀들(1)	
QUEST_LV_0500_20210809_000995	지하에 감춘 비밀들(2)	
QUEST_LV_0500_20210809_000996	파울루스를 믿을 수 없다고 한다	
QUEST_LV_0500_20210809_000997	지하에 감춘 비밀들(3)	
QUEST_LV_0500_20210809_000998	잠시 쉬자고 한다	
QUEST_LV_0500_20210809_000999	지하에 감춘 비밀들(4)	
QUEST_LV_0500_20210809_001000	다른 일을 먼저 하겠다고 한다	
QUEST_LV_0500_20210809_001001	지하에 감춘 비밀들(5)	
QUEST_LV_0500_20210809_001002	지하에 감춘 비밀들(6)	
QUEST_LV_0500_20210809_001003	지하에 감춘 비밀들(7)	
QUEST_LV_0500_20210809_001004	어서 확인하자고 한다	
QUEST_LV_0500_20210809_001005	미안하지만 기다려달라고 한다	
QUEST_LV_0500_20210809_001006	지하에 감춘 비밀들(8)	
QUEST_LV_0500_20210809_001007	고통받는 마군주	
QUEST_LV_0500_20210809_001008	우측으로(1)	
QUEST_LV_0500_20210809_001009	우측으로(2)	
QUEST_LV_0500_20210809_001010	좌측으로(1)	
QUEST_LV_0500_20210809_001011	좌측으로(2)	
QUEST_LV_0500_20210809_001012	합류	
QUEST_LV_0500_20210809_001013	인간다운 죽음(1)	
QUEST_LV_0500_20210809_001014	인간다운 죽음(2)	
QUEST_LV_0500_20210809_001015	기절헀다고 한다	
QUEST_LV_0500_20210809_001016	다시 확인해보겠다고 한다	
QUEST_LV_0500_20210809_001017	설교자 쫓기(1)	
QUEST_LV_0500_20210809_001018	설교자 쫓기(2)	
QUEST_LV_0500_20210809_001019	설교자 쫓기(3)	
QUEST_LV_0500_20210809_001020	설교자 쫓기(4)	
QUEST_LV_0500_20210809_001021	설교자 쫓기(5)	
QUEST_LV_0500_20210809_001022	설교자 쫓기(6)	
QUEST_LV_0500_20210809_001023	설교자 쫓기(7)	
QUEST_LV_0500_20210809_001024	설교자 쫓기(8)	
QUEST_LV_0500_20210809_001025	설교자 쫓기(9)	
QUEST_LV_0500_20210809_001026	설교자 쫓기(10)	
QUEST_LV_0500_20210809_001027	설교자 쫓기(11)	
QUEST_LV_0500_20210809_001028	지금은 쉬어야겠다고 한다	
QUEST_LV_0500_20210809_001029	성자의 기도소	
QUEST_LV_0500_20210809_001030	성자의 기도소에 대해 더 묻는다	
QUEST_LV_0500_20210809_001031	갈림길	
QUEST_LV_0500_20210809_001032	왕국 재건단의 부탁	
QUEST_LV_0500_20210809_001033	계시자임을 밝히고 기꺼이 돕겠다고 한다	
QUEST_LV_0500_20210809_001034	렘파라사 연못의 마족들	
QUEST_LV_0500_20210809_001035	지원이 없으면 싫다고 한다	
QUEST_LV_0500_20210809_001036	반가운 얼굴	
QUEST_LV_0500_20210809_001037	최선의 방어는 공격(1)	
QUEST_LV_0500_20210809_001038	계획이 마음에 들지 않는다고 한다	
QUEST_LV_0500_20210809_001039	최선의 방어는 공격(2)	
QUEST_LV_0500_20210809_001040	앞장서겠다고 한다	
QUEST_LV_0500_20210809_001041	덧댄다리 숲으로 향하세요	
QUEST_LV_0500_20210809_001042	모든 것이 부족한 상황	
QUEST_LV_0500_20210809_001043	파야우타와 의논해보겠다고 한다	
QUEST_LV_0500_20210809_001044	별 수 없다고 한다	
QUEST_LV_0500_20210809_001045	좋은 방법(1)	
QUEST_LV_0500_20210809_001046	천재적인 발상이라고 한다	
QUEST_LV_0500_20210809_001047	혼란스럽다고 한다	
QUEST_LV_0500_20210809_001048	좋은 방법(2)	
QUEST_LV_0500_20210809_001049	좋은 방법(3)	
QUEST_LV_0500_20210809_001050	좋은 방법(4)	
QUEST_LV_0500_20210809_001051	훌륭한 물자	
QUEST_LV_0500_20210809_001052	같이 가겠다고 한다	
QUEST_LV_0500_20210809_001053	의논해보겠다고 한다	
QUEST_LV_0500_20210809_001054	오르샤 피해 복구반을 따라 파우피스 나루로 이동하세요	
QUEST_LV_0500_20210809_001055	또 다른 피해자들	
QUEST_LV_0500_20210809_001056	최대한 찾아보겠다고 한다	
QUEST_LV_0500_20210809_001057	남겨지는 사람이 없도록	
QUEST_LV_0500_20210809_001058	가망 없는 이야기라고 한다	
QUEST_LV_0500_20210809_001059	잃어버린 기억	
QUEST_LV_0500_20210809_001060	좀 더 함께 다니겠다고 한다	
QUEST_LV_0500_20210809_001061	누군가 당신에게 들려줄 이야기가 있습니다	
QUEST_LV_0500_20210809_001062	누군가 계시자인 당신에게 특별한 이야기를 해주고 싶어합니다	
QUEST_LV_0500_20210809_001063	잊혀진 이야기의 서문을 읽어보세요	
QUEST_LV_0500_20210809_001064	낯설기도 하지만 익숙한 느낌이 가득한 공간으로 이동했습니다{nl}이야기꾼의 이야기를 차근차근 들어보세요	
QUEST_LV_0500_20210809_001065	이야기꾼과 대화하세요.	
QUEST_LV_0500_20210809_001066	이야기꾼의 이야기가 끝났습니다	
QUEST_LV_0500_20210809_001067	오르샤의 영주를 만나기	
QUEST_LV_0500_20210809_001068	오르샤의 영주 이네사 해먼데일이 당신을 기다리고 있습니다{nl}오르샤의 영주를 찾아가 이야기를 들어보세요{nl}	
QUEST_LV_0500_20210809_001069	아샤크 지하 감옥 1층의 입구를 막아선 크루비나 장벽을 조사하기	
QUEST_LV_0500_20210809_001070	오르샤의 영주는 당신에게 파우피스 나루와 아샤크 지하 감옥 1층의 입구를 차단하고 있는 거대한 크루비나 장벽에 대해 의문을 이야기했습니다{nl}그와 함께 아샤크 지하 감옥에 대한 조사를 부탁했습니다{nl}아샤크 지하 감옥 2층으로 진입하기 전에 크루비나 장벽을 먼저 조사해보세요	
QUEST_LV_0500_20210809_001071	아샤크 지하 감옥 2층 진입하기	
QUEST_LV_0500_20210809_001072	넓은 오르샤 근방에 거대한 크루비나 장벽이 서 있는 게 수상합니다{nl}오르샤의 영주가 일러준 진입로를 통해 아샤크 지하 감옥 2층으로 이동하세요	
QUEST_LV_0500_20210809_001073	파울루스와 이야기하기	
QUEST_LV_0500_20210809_001074	파야우타의 오빠인 파울루스를 만났습니다{nl}그와 이야기해보세요	
QUEST_LV_0500_20210809_001075	본격적인 조사에 앞서 몬스터들을 정리하세요	
QUEST_LV_0500_20210809_001076	주시자가 벌인 만행에 대한 증거를 모으기 위해 조사를 시작해야 합니다{nl}조사에 방해가 되지 않도록 주변 몬스터를 처치하세요	
QUEST_LV_0500_20210809_001077	파야우타와 대화하기	
QUEST_LV_0500_20210809_001078	공격해오는 몬스터들을 충분히 제거했습니다{nl}다음 목표를 위해 파야우타와 상의하세요	
QUEST_LV_0500_20210809_001079	이다음을 위해 파야우타와 논의하세요	
QUEST_LV_0500_20210809_001080	몬스터들로부터 연구자료 훔치기	
QUEST_LV_0500_20210809_001081	모크슬라들이 가지고 있는 연구 자료는 중요한 증거물입니다{nl}모크슬라들을 처치하고 그들의 연구자료를 탈취하세요	
QUEST_LV_0500_20210809_001082	모크슬라들로부터 충분한 자료들을 훔쳤습니다{nl}파야우타와 대화하고 다음 할 일을 이야기하세요	
QUEST_LV_0500_20210809_001083	모크슬라 처치	
QUEST_LV_0500_20210809_001084	파울루스를 찾기	
QUEST_LV_0500_20210809_001085	파울루스를 찾으세요	
QUEST_LV_0500_20210809_001086	연구 자료를 조사하기	
QUEST_LV_0500_20210809_001087	모크슬라들의 연구 자료는 중요한 자료이지만, 정작 중요한 핵심적인 연구의 성과를 이룰 수 있는 연구에 대해 적힌 자료는 따로 있다고 합니다{nl}책장에서 자료를 찾아야합니다	
QUEST_LV_0500_20210809_001088	주시자와 퀩 메이지의 거래에 관한 이야기가 적힌 서적을 찾았습니다{nl}파울루스에게 서적을 보여주세요	
QUEST_LV_0500_20210809_001089	중요한 연구 자료 획득{nl}중요한 연구 자료는 파티 공유로 획득되지 않습니다.	
QUEST_LV_0500_20210809_001090	파울루스와 대화하기	
QUEST_LV_0500_20210809_001091	주시자가 어떤 연구를 목표로하는 지에 대한 증거를 확보했습니다{nl}파울루스와 다음 할 일에 대해 이야기하세요	
QUEST_LV_0500_20210809_001092	모크슬라들이 떨어뜨린 분실물 회수	
QUEST_LV_0500_20210809_001093	연구에 희생된 대상이 인간들임을 증명할 수 있는 증거가 필요합니다{nl}모크슬라들은 꼼꼼하지 못한 성격이니 쉽게 소지품을 떨어뜨린다고 합니다{nl}모크슬라들이 떨어뜨린 희생된 인간들의 소지품을 회수하세요	
QUEST_LV_0500_20210809_001094	왕실 고위 인사들의 소지품으로 추정되는 값비싼 물건들을 발견했습니다{nl}파야우타에게 소지품들을 맡기고 다음 목표에 관해 이야기하세요	
QUEST_LV_0500_20210809_001095	파야우타와 다음 목표에 관해 이야기 하세요	
QUEST_LV_0500_20210809_001096	고장 난 보관함 조사하기	
QUEST_LV_0500_20210809_001097	고장 난 보관함을 조사하세요	
QUEST_LV_0500_20210809_001098	몬스터들의 습격을 방어했습니다{nl}파야우타와 대화하세요	
