SKILL_20180327_000001	攻击	공격	
SKILL_20190110_007660	技能係数 #{SkillFactor}#%{nl}攻击 #{CaptionRatio}#次防御{nl}大盾持续时间 #{CaptionTime}#秒{nl}{#339999}{ol}[出血]{/}{/} 持续时间5秒	스킬 계수 #{SkillFactor}#%{nl}공격 #{CaptionRatio}#회 방어{nl}파비스 지속시간 #{CaptionTime}#초{nl}{#339999}{ol}[출혈]{/}{/} 지속시간 5초	SKILL_20180327_001138	攻击力 #{SkillFactor}#%{nl}攻击 #{CaptionRatio}#次 防御{nl}大盾持时间 #{CaptionTime}#秒{nl}出血机率 #{CaptionRatio2}#%	공격력 #{SkillFactor}#%{nl}공격 #{CaptionRatio}#회 방어{nl}파비스 지속시간 #{CaptionTime}#초{nl}출혈 확률 #{CaptionRatio2}#%	
SKILL_20190110_007661	向地面丢掷铁蒺藜。踩到铁蒺藜的敌人会受到伤害，并且被施予缓速。	지면에 캘트롭을 던집니다. 캘트롭을 밟은 적은 피해를 입고 슬로우에 걸립니다.	SKILL_20180327_001140	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}对地面丢掷铁蒺藜，让踩到的对象造成伤害。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}지면에 캘트롭을 던져 밟은 대상에게 피해를 줍니다.	
SKILL_20190110_007662	技能係数 #{SkillFactor}#%{nl}#{CaptionRatio2}#个投掷{nl}铁蒺藜持续时间 #{CaptionTime}#秒{nl}{#339999}{ol}[缓速]{/}{/} 持续时间7秒	스킬 계수 #{SkillFactor}#%{nl}#{CaptionRatio2}#개 투척{nl}캘트롭 지속시간 #{CaptionTime}#초{nl}{#339999}{ol}[슬로우]{/}{/} 지속시간 7초	SKILL_20180327_001141	攻击力 #{SkillFactor}#%{nl}#{CaptionRatio2}#个投掷{nl}铁蒺藜持续时间 #{CaptionTime}#秒{nl}5秒内敌人移动速度减少10	공격력 #{SkillFactor}#%{nl}#{CaptionRatio2}#개 투척{nl}캘트롭 지속시간 #{CaptionTime}#초{nl}5초간 적 이동속도 10 감소	
SKILL_20190110_007663	发射石弹击退对象。对象会以一定机率陷入昏厥状态。{nl}对恐怖状态的敌人会套用 50%追加伤害。	돌 탄환을 발사하여 대상을 밀쳐냅니다. 대상은 일정 확률로 스턴 상태에 빠집니다.{nl}공포 상태의 적에게 50% 추가대미지를 입힙니다.	SKILL_20180327_001146	{#DD5500}{ol}[飞弹：弓]{/}{/}{nl}发射石弹击退对象。对象会以一定机率陷入昏厥状态。	{#DD5500}{ol}[미사일:활]{/}{/}{nl}돌 탄환을 발사하여 대상을 밀쳐냅니다. 대상은 일정 확률로 스턴 상태에 빠집니다.	
SKILL_20190110_007664	技能係数 #{SkillFactor}#%{nl}{#339999}{ol}[昏厥]{/}{/} 机率 #{CaptionRatio}#%{nl}{#339999}{ol}[昏厥]{/}{/} 持续时间 #{CaptionTime}#秒	스킬 계수 #{SkillFactor}#%{nl}{#339999}{ol}[스턴]{/}{/} 확률 #{CaptionRatio}#%{nl}{#339999}{ol}[스턴]{/}{/} 지속시간 #{CaptionTime}#초	SKILL_20180327_001147	攻击力 #{SkillFactor}#%{nl}{#339999}{ol}[昏厥]{/}{/} 持续时间 #{CaptionTime}#秒{nl}消耗石弹1个	공격력 #{SkillFactor}#%{nl}{#339999}{ol}[스턴]{/}{/} 지속시간 #{CaptionTime}#초{nl}돌 탄환 1개 소비	
SKILL_20190110_007665	将许多发箭装填在石弓后，向对象连续发射。{nl}对恐怖状态的敌人会套用 50%追加伤害。	여러 개의 화살을 석궁에 장전한 뒤, 대상에게 연속으로 발사합니다.{nl}공포 상태의 적에게 50% 추가대미지를 입힙니다.	SKILL_20180327_001149	{#DD5500}{ol}[飞弹：弓]{/}{/}{nl}将许多发箭装填在石弓后，向对象连续发射。	{#DD5500}{ol}[미사일:활]{/}{/}{nl}여러 개의 화살을 석궁에 장전한 뒤, 대상에게 연속으로 발사합니다.	
SKILL_20190110_007666	技能係数 #{SkillFactor}#% x 攻击次数{nl}最大装填时间 1秒	스킬 계수 #{SkillFactor}#% x 공격 횟수{nl}최대 장전 시간 1초	SKILL_20180327_001150	攻击力 #{SkillFactor}#% x 攻击次数{nl}最大装填时间 1秒	공격력 #{SkillFactor}#% x 공격 횟수{nl}최대 장전 시간 1초	
SKILL_20190110_007667	拆除地面的各种雕刻像或是障碍物的同时，并对附近的敌人造成伤害。{nl}* 瓦卡丽涅女神像以外的雕刻师雕刻像{nl}* 冰牆、土牆{nl}* 置盾、栅栏{nl}* Boss怪物所召唤的各种陷阱	전면의 각종 조각상이나 장애물을 철거함과 동시에 인근의 적에게 피해를 줍니다.{nl}아래 나열한 개체을 철거 할 수 있습니다.{nl}* 바카리네 여신상을 제외한 딥디르비 조각상{nl}* 아이스 월, 더티 월{nl}* 파비스, 방책{nl}* 보스 몬스터가 소환하는 각종 트랩	SKILL_20180327_001152	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}清除前面的障碍物，同时对附近的敌人给予伤害。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}전면의 장애물을 철거하면서 동시에 인근의 적에게 피해를 줍니다.	
SKILL_20190110_007668	追加技能係数 #{SkillFactor}#%{nl}持续时间 #{CaptionTime}#秒{nl}基本攻击速度增加10%	추가 스킬 계수 #{SkillFactor}#%{nl}지속시간 #{CaptionTime}#초{nl}기본 공격 속도 10% 증가	SKILL_20180327_001155	追加攻击力 #{SkillFactor}#%{nl}持续时间 #{CaptionTime}#秒{nl}基本攻击速度增加 10%	추가 공격력 #{SkillFactor}#%{nl}지속시간 #{CaptionTime}#초{nl}기본 공격 속도 10% 증가	
SKILL_20190110_007669	为了提高集中力而以跪姿攻击。攻击力及射程距离、基本攻击速度都会增加。再施展一次跪射，会解除跪射状态。	집중력을 높이기 위해 앉아서 공격합니다. 공격력과 사정거리, 기본 공격 속도가 증가합니다. 닐링 샷을 한번 더 시전하면 닐링 샷 상태가 해제됩니다.	
SKILL_20190110_007670	物理攻击力 #{CaptionRatio}#% 增加{nl}射程距离增加 35 {nl}基本攻击速度增加 250	물리 공격력 #{CaptionRatio}#% 증가{nl}사정거리 35 증가{nl}기본 공격 속도 250 증가	
SKILL_20190110_007671	挡射	블록 앤드 샷	
SKILL_20190110_007672	格挡暂时增加。在格挡射击Buff中，格挡之后自己的下次攻击上，会套用追加伤害。	잠시 동안 블록이 증가합니다. 블록 앤드 샷 버프 중에는 블록 후에 자신의 다음 공격에 추가 대미지가 적용됩니다.	
SKILL_20190110_007673	格挡增加 #{CaptionRatio}#% {nl}伤害增加 50%{nl}持续时间 300秒	블록 #{CaptionRatio}#% 증가{nl}대미지 50% 증가{nl}지속시간 300초	
SKILL_20190110_007674	设置会对接近的敌人造成伤害的栅栏。	근접한 적을 공격하는 방책을 설치합니다.	SKILL_20180327_001156	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}设置会对接近的敌人造成伤害的栅栏。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}근접한 적을 공격하는 방책을 설치합니다.	
SKILL_20190110_007675	技能係数 #{SkillFactor}#% x 3次{nl}最大持续时间 #{CaptionTime}#秒	스킬 계수 #{SkillFactor}#% x 3회{nl}최대 지속시간 #{CaptionTime}#초	SKILL_20180327_000068	攻击力 #{SkillFactor}#% x 3次	공격력 #{SkillFactor}#% x 3회	
SKILL_20190110_007676	设置向前方发射散弹造成伤害的陷阱。此陷阱按下击发装置后就会发动。{nl}{#00113F}对[烟幕弹] 套用对象使用阔剑地雷时，阔剑地雷攻击确定发生暴击。{/}	전방에 산탄을 발사하여 피해를 입히는 트랩을 설치합니다. 이 트랩은 격발기를 눌러서 동작시킵니다.{nl}{#00113F}[연막탄] 적용 대상에게 크레모어 사용 시, 크레모어 공격이 확정 치명타로 발생합니다.{/}	SKILL_20180327_001157	{#DD5500}{ol}[Physical] - [Pierce]{/}{/}{nl}Set up a trap in front of you that fires a buckshot. It triggers by re-using the skill.	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}전방에 산탄을 발사하여 피해를 입히는 트랩을 설치합니다. 이 트랩은 격발기를 눌러서 동작시킵니다.	
SKILL_20190110_007677	技能係数 #{SkillFactor}#%{nl}被攻击对象数 #{CaptionRatio}#{nl}}陷阱工具消耗 #{SpendItemCount}#个	스킬 계수 #{SkillFactor}#%{nl}피격 대상 수 #{CaptionRatio}#{nl}트랩 키트 #{SpendItemCount}#개 소비	SKILL_20180705_006302	攻击力 #{SkillFactor}#%{nl}被攻击对象数 #{CaptionRatio}#{nl}陷阱工具消耗 #{SpendItemCount}#个	공격력 #{SkillFactor}#%{nl}피격 대상 수 #{CaptionRatio}#{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007678	设置当敌人踩下时会蹦射出来的陷阱。踩到陷阱的对象会被猛烈地反弹到后方。	적이 밟았을 때 튀어오르는 함정을 설치합니다. 이 함정을 밟은 대상은 뒤로 멀리 튕겨 나갑니다.	SKILL_20180327_001160	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}设置敌人踩下时会蹦射出来的陷阱。踩到陷阱的对象会被猛烈地反弹到后面。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적이 밟았을 때 튀어오르는 함정을 설치합니다. 이 함정을 밟은 대상은 뒤로 멀리 튕겨 나갑니다.	
SKILL_20190110_007679	技能係数 #{SkillFactor}#%{nl}施法时间1.5秒{nl}持续时间 #{CaptionRatio2}#秒{nl}}陷阱工具消耗 #{SpendItemCount}#个	스킬 계수 #{SkillFactor}#%{nl}캐스팅 시간 1.5초{nl}지속시간 #{CaptionRatio2}#초{nl}트랩 키트 #{SpendItemCount}#개 소비	SKILL_20180705_006303	攻击力 #{SkillFactor}#%{nl}施法时间3秒{nl}持续时间 #{CaptionRatio2}#秒{nl}陷阱工具消耗#{SpendItemCount}#个	공격력 #{SkillFactor}#%{nl}캐스팅 시간 3초{nl}지속시간 #{CaptionRatio2}#초{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007680	引爆设置的陷阱，对敌人造成伤害。	설치된 일부 트랩을 폭발시켜 적에게 피해를 입힙니다.	SKILL_20180327_001163	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}引爆设置的陷阱和魔法阵，造成伤害。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}설치된 트랩과 마법진을 폭발시켜 적에게 피해를 입힙니다.	
SKILL_20190110_007681	技能係数 #{SkillFactor}#%{nl}爆破数量 #{CaptionRatio}#个	스킬 계수 #{SkillFactor}#%{nl}폭파 개수 #{CaptionRatio}#개	SKILL_20180327_001164	攻击力 #{SkillFactor}#%{nl}爆破数量 #{CaptionRatio}#个	공격력 #{SkillFactor}#%{nl}폭파 개수 #{CaptionRatio}#개	
SKILL_20190110_007682	被隐藏的陷阱直到消失为止，会持续隐蔽	감춰진 트랩이 사라질 때까지 은폐가 지속됨	SKILL_20180327_001167	隐蔽持续时间 #{CaptionRatio}#分钟	은폐 지속시간 #{CaptionRatio}#분	
SKILL_20190110_007683	设置对半径内的敌人造成伤害的旋转型陷阱。	반경 내의 적에게 피해를 주는 회전형 트랩을 설치합니다.	SKILL_20180327_001169	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}设置对半径内的敌人给予伤害的旋转型陷阱。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}반경 내의 적에게 피해를 주는 회전형 트랩을 설치합니다.	
SKILL_20190110_007684	技能係数 #{SkillFactor}#% x 攻击次数{nl}陷阱持续15秒{nl}}陷阱工具消耗 #{SpendItemCount}#个	스킬 계수 #{SkillFactor}#% x 공격 횟수{nl}트랩 15초 지속{nl}트랩 키트 #{SpendItemCount}#개 소비	SKILL_20180705_006304	攻击力 #{SkillFactor}#% x 攻击次数{nl}陷阱持续15秒{nl}陷阱工具消耗#{SpendItemCount}#个	공격력 #{SkillFactor}#% x 공격 횟수{nl}트랩 15초 지속{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007685	对敌人绑定炸弹。被绑定炸弹的对象和其它敌人接触时会发生爆炸。	적에게 폭탄을 매답니다. 이 폭탄이 매달린 대상은 다른 적과 접촉시 폭발합니다.	SKILL_20180327_001171	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}对敌人绑定炸弹。被绑定炸弹的对象和其它敌人接触时会发生暴炸。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}적에게 폭탄을 매답니다. 이 폭탄이 매달린 대상은 다른 적과 접촉시 폭발합니다.	
SKILL_20190110_007686	技能係数 #{SkillFactor}#%{nl}设置数量 #{CaptionRatio}#个	스킬 계수 #{SkillFactor}#%{nl}설치 개수 #{CaptionRatio}#개	SKILL_20180327_001172	攻击力 #{SkillFactor}#%{nl}设置数量 #{CaptionRatio}#个	공격력 #{SkillFactor}#%{nl}설치 개수 #{CaptionRatio}#개	
SKILL_20190110_007687	在自己的前方设置会向前方射箭的陷阱。陷阱以一定的间隔射箭，技能等级越高，钢丝会越长，并且射出更多的箭。	자신의 앞에 전방으로 화살이 발사되는 트랩을 설치합니다. 트랩은 일정한 간격으로 화살을 발사하며, 스킬 레벨이 높아질 수록 와이어가 길어져 많은 화살이 발사됩니다.	SKILL_20180327_001174	{#DD5500}{ol}[物理] - [刺击]{/}{/}{nl}触发钢丝后会发射装填好弓箭的陷阱。	{#DD5500}{ol}[물리] - [찌르기]{/}{/}{nl}적이 와이어를 건드리면 장전된 화살이 발사되는 트랩을 설치합니다.	
SKILL_20190110_007688	每1.5秒技能係数 #{SkillFactor}#%{nl}设置长度 #{CaptionRatio2}#{nl}陷阱持续40秒{nl}}陷阱工具消耗 #{SpendItemCount}#个	1.5초당 스킬 계수 #{SkillFactor}#%{nl}설치 길이 #{CaptionRatio2}#{nl}트랩 40초 지속{nl}트랩 키트 #{SpendItemCount}#개 소비	SKILL_20180705_006305	攻击力 #{SkillFactor}#%{nl}箭矢数量 #{CaptionRatio}#个{nl}设置范围#{CaptionRatio2}#{nl}陷阱工具消耗#{SpendItemCount}#个	공격력 #{SkillFactor}#%{nl}화살 개수 #{CaptionRatio}#개{nl}설치 범위 #{CaptionRatio2}#{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007689	喷出火焰，并对该地区的对象造成伤害。	불길이 올라오면서 해당 위치에 대상에게 피해를 줍니다.	SKILL_20180327_001177	{#DD5500}{ol}[物理] - [打击]{/}{/}{nl}喷出火焰，并对该地区的对象造成伤害。	{#DD5500}{ol}[물리] - [때리기]{/}{/}{nl}불길이 올라오면서 해당 위치에 대상에게 피해를 줍니다.	
SKILL_20190110_007690	技能係数#{SkillAtkAdd}#{nl}15秒内持续	스킬 계수#{SkillAtkAdd}#{nl}15초간 지속	SKILL_20180327_001178	攻击力#{SkillAtkAdd}#{nl}15秒内持续	공격력 #{SkillAtkAdd}#{nl}15초간 지속	
SKILL_20190110_007691	设置踩到后会大幅反弹的弹簧陷阱。被弹簧陷阱击中的敌人会被施予Debuff，在此期间上对弹簧陷阱免疫不会被弹开，只会遭受到伤害。	밟으면 뒤로 크게 튕겨 나가는 스프링 트랩을 설치합니다. 스프링 트랩에 당한 적은 디버프에 걸리고, 이 동안에는 스프링 트랩에 면역되어 튕겨져 나가지 않고 피해만 받습니다.	
SKILL_20190110_007692	技能係数 #{SkillFactor}#%{nl}陷阱持续35秒{nl}Debuff 持续时间30秒{nl}陷阱工具消耗 #{SpendItemCount}#个	스킬 계수 #{SkillFactor}#%{nl}트랩 35초 지속{nl}디버프 지속시간 30초{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007693	在前方投撒3个妨碍敌人移动的陷阱。踩到陷阱的敌人会陷入无法移动的状态。锁腿陷阱不适用于引爆陷阱的对象	전방에 적의 이동을 방해하는 트랩을 3개 뿌립니다. 트랩을 밟은 적은 이동 불가 상태에 빠집니다. 레그홀드 트랩은 데토네이트 트랩의 대상에 해당되지 않습니다.	
SKILL_20190110_007694	技能係数 #{SkillFactor}#%{nl}陷阱持续20秒{nl}不能移动持续时间5秒{nl}陷阱工具消耗 #{SpendItemCount}#个	스킬 계수 #{SkillFactor}#%{nl}트랩 20초 지속{nl}이동 불가 지속시간 5초{nl}트랩 키트 #{SpendItemCount}#개 소비	
SKILL_20190110_007695	宠物将对象咬住拖向主人。敌人会成为无法攻击状态并持续受到伤害。(当被咬的敌人为角色时，持续时间会减少一半。被咬的为Boss怪物时，不会套用状态效果。)遭到咬回的敌人在咬回结束后，会发生Debuff。	컴패니언이 대상을 물고 늘어집니다. 물린 대상은 행동불가 상태가 되고, 물리와 마법 방어력이 감소하는 출혈 피해를 입습니다. (물린 적이 캐릭터 일 경우 지속시간이 절반으로 감소하고, 보스몬스터일 경우 행동불가 기능이 적용되지 않습니다.)	SKILL_20180327_001180	{#DD5500}{ol}[物理]{/}{/}{nl}宠物咬住对象不放，被咬住的对象物理防御力减少，持续受到伤害。攻击对象时适用暴击机率红利。 {nl}(当被咬的是角色时，持续时间减半。)	{#DD5500}{ol}[물리]{/}{/}{nl}컴패니언이 대상을 물고 늘어집니다. 물린 대상은 물리 방어력이 감소하며, 지속적 피해를 입습니다. 대상을 공격할 때 치명타 확률 보너스가 적용됩니다. {nl}(물린 적이 캐릭터일 경우 지속시간이 절반으로 감소합니다.)	
SKILL_20190110_007696	每0.5秒技能係数 #{SkillFactor}#%{nl}物理、魔法防御力 #{CaptionRatio}#% 减少{nl}持续时间5.5秒	0.5초당 스킬 계수 #{SkillFactor}#%{nl}물리, 마법 방어력 #{CaptionRatio}#% 감소{nl}지속시간 5.5초	SKILL_20180327_001181	每0.5秒攻击力 #{SkillFactor}#%{nl}物理防御力 #{CaptionRatio}#% 减少{nl}追加暴击率40%{nl}持续时间5.5秒	0.5초당 공격력 #{SkillFactor}#%{nl}물리 방어력 #{CaptionRatio}#% 감소{nl}추가 치명타 확률 40%{nl}지속시간 5.5초	
SKILL_20190110_007697	宠物会咬住空中型怪物，使其掉落地面，引起出血状态。	컴패니언이 공중형 몬스터를 물어 땅으로 떨어뜨리고, 출혈 상태를 일으킵니다.	SKILL_20180327_001183	{#DD5500}{ol}[物理]{/}{/}{nl}宠物咬下空中型怪物，使其掉落地面，并造成出血状态。	{#DD5500}{ol}[물리]{/}{/}{nl}컴패니언이 공중형 몬스터를 물어 땅으로 떨어뜨리고, 출혈 상태를 일으킵니다.	
SKILL_20190110_007698	衝锋	러시 도그	SKILL_20180528_005672	衝锋	러쉬 도그	
SKILL_20190110_007699	让宠物突击指定的位置。遭受衝锋打击的敌人，会以 50%机率陷入昏厥。	컴패니언을 지정한 위치로 돌격시킵니다. 러시 도그에 타격 된 적은 50% 확률로 스턴에 걸립니다.	SKILL_20180327_001186	{#DD5500}{ol}[物理]{/}{/}{nl}让宠物突击攻击敌人。	{#DD5500}{ol}[물리]{/}{/}{nl}컴패니언을 돌격시켜 적을 공격합니다.	
SKILL_20190110_007700	技能係数 #{SkillFactor}#% x 5次{nl}被攻击对象数 10{nl}昏厥持续时间4次	스킬 계수 #{SkillFactor}#% x 5회{nl}피격 대상 수 10{nl}스턴 지속시간 4초	SKILL_20180327_000597	攻击力 #{SkillFactor}#% x 5次	공격력 #{SkillFactor}#% x 5회	
SKILL_20190110_007701	暂时提升宠物的能力值。攻击力、暴击率、命中、移动速度都会增加，且从Boss怪物以外的怪物对象那受到的伤害会大幅减少。还有，宠物可以即时被召唤至主人位置，然后恢复HP。(宠物在昏厥状态也可以套用。)	컴패니언의 능력치를 일시적으로 끌어 올립니다. 공격력, 치명타 발생, 명중, 이동 속도가 증가하고, 보스 몬스터를 제외한 몬스터 대상에게 받는 피해가 대폭 감소합니다. 또한 컴패니언이 주인 위치로 즉시 소환되고, HP가 회복 됩니다. (컴패니언이 기절한 상태에서도 적용됩니다.)	SKILL_20180327_001188	暂时提升宠物的攻击力、命中、暴击率、基本攻击速度。	컴패니언의 공격력, 명중, 치명타 발생, 기본 공격 속도를 일시적으로 올립니다.	
SKILL_20190110_007702	宠物的攻击力增加 #{CaptionRatio}# {nl}宠物的暴击率增加 #{CaptionRatio}# {nl}宠物的命中增加 #{CaptionRatio}# {nl}宠物的移动速度增加 5{nl}宠物受到的伤害减少 95% {nl}(角色和Boss怪除外){nl}持续时间 300秒	컴패니언의 공격력 #{CaptionRatio}# 증가{nl}컴패니언의 치명타 발생 #{CaptionRatio}# 증가{nl}컴패니언의 명중 #{CaptionRatio}# 증가{nl}컴패니언의 이동 속도 5 증가{nl}컴패니언 받는 피해 95% 감소{nl}(캐릭터와 보스 몬스터는 제외){nl}지속시간 300초	SKILL_20180327_001189	宠物的攻击力增加 #{CaptionRatio}# {nl}宠物的命中增加 #{CaptionRatio}# {nl}宠物的暴击率增加 #{CaptionRatio}# {nl}宠物的基本攻击速度增加 #{CaptionRatio2}#秒{nl}持续时间 #{CaptionTime}#秒{nl}5级精通	컴패니언의 공격력 #{CaptionRatio}# 증가{nl}컴패니언의 명중 #{CaptionRatio}# 증가{nl}컴패니언의 치명타 발생 #{CaptionRatio}# 증가{nl}컴패니언의 기본 공격 속도 #{CaptionRatio2}#초 증가{nl}지속시간 #{CaptionTime}#초{nl}5레벨 마스터	
SKILL_20190110_007703	宠物将对象咬住拖向主人。敌人会成为无法攻击状态并持续受到伤害。(当被咬的敌人为角色时，持续时间会减少一半。被咬的为Boss怪物时，不会套用无法移动功能。){nl}遭到咬回的敌人在咬回结束后，会发生Debuff。	컴패니언이 대상을 물고 주인쪽으로 끌고 옵니다. 대상은 행동불가 상태가 되며 지속 피해를 입습니다.(물린 적이 캐릭터 일 경우 지속시간이 절반으로 감소하고, 보스몬스터일 경우 행동불가 기능이 적용되지 않습니다.){nl}리트리브에 공격 당한 적은 리트리브가 끝난 뒤 공포 디버프에 걸립니다.	SKILL_20180327_001194	{#DD5500}{ol}[物理]{/}{/}{nl}宠物将敌人咬住拖向主人。敌人陷入无法攻击状态并持续受到伤害。	{#DD5500}{ol}[물리]{/}{/}{nl}컴패니언이 대상을 물고 주인쪽으로 끌고 옵니다. 대상은 공격 불가 상태가 되며 지속적 피해를 입습니다.	
SKILL_20190110_007704	每0.5秒技能係数 #{SkillFactor}#%{nl}持续时间5秒{nl}[恐怖] 持续时间20秒	0.5초당 스킬 계수 #{SkillFactor}#%{nl}지속시간 5초{nl}[공포] 지속시간 20초	SKILL_20180327_001195	攻击力 #{SkillFactor}#%{nl}最大持续时间5秒	공격력 #{SkillFactor}#%{nl}최대 지속시간 5초	
SKILL_20190110_007705	宠物的感觉变得敏锐，善于找到被隐藏的东西。宠物找出躲藏在周围的对象，施展者的道具掉落机会增加。被发现的敌人会发生恐怖Debuff。	컴패니언의 감각이 예민해져 숨겨진 것을 찾는데 능숙해집니다. 컴패니언은 주변에 숨어있는 대상을 찾아내고, 시전자는 루팅 찬스가 증가합니다. 발견된 적은 공포 디버프에 걸립니다.	SKILL_20180327_001197	宠物找出隐藏在周围的对象。	컴패니언이 주위의 숨어있는 대상을 찾아냅니다.	
SKILL_20190110_007706	道具掉落机会增加 #{CaptionRatio}# {nl}感应躲藏的对象 5次{nl}寻踪觅迹Buff持续时间 90秒{nl}恐怖Debuff持续时间 3秒	루팅 찬스 #{CaptionRatio}# 증가{nl}숨어 있는 대상 감지 5회{nl}하운딩 버프 지속시간 90초{nl}공포 디버프 지속시간 3초	SKILL_20180327_001198	感应躲藏的敌人#{CaptionRatio}#次{nl}寻踪觅迹AI 持续时间90秒	숨어 있는 대상 감지 #{CaptionRatio}#회{nl}하운딩 AI 지속시간 90초	
SKILL_20190110_007707	宠物咆哮威胁敌人们。被施予咆哮的敌人会陷入无法行动状态，对飞弹攻击变得脆弱。(Boss怪物不会套用无法移动功能。){nl}宠物和主人的距离如果为 250以上，宠物的咆哮会停止。	컴패니언이 포효하며 적들을 위협합니다. 그로울링에 걸린 적은 행동불가 상태에 빠지고, 미사일 공격에 취약해 집니다. (보스몬스터는 행동불가 기능이 적용되지 않습니다.){nl}컴패니언과 주인의 거리가 250 이상이면 컴패니언의 그로울링이 멈춥니다.	SKILL_20180327_001200	宠物威胁敌人们使其无法接近周边。敌人们会成为恐怖状态。	컴패니언이 적들을 위협하여 주변으로 오지 못하게 합니다. 적들은 공포 상태가 될 수 있습니다.	
SKILL_20190110_007708	Debuff冷却时间周期 4秒{nl}飞弹攻击时，伤害增加 #{CaptionRatio}#% {nl}咆哮 AI 持续时间 10分钟	디버프 재사용주기 4초{nl}미사일 공격 시 대미지 #{CaptionRatio}#% 증가{nl}그로울링 AI 지속시간 10분	SKILL_20180327_001201	{#339999}{ol}[恐怖]{/}{/} 持续时间 #{CaptionRatio}#秒{nl}宠物和主人的距离为{nl}250 以上时，会解除AI{nl}咆哮AI 持续时间10分钟	{#339999}{ol}[공포]{/}{/} 지속시간 #{CaptionRatio}#초{nl}컴패니언과 주인의 거리가{nl}250 이상이면 AI 해제{nl}그로울링 AI 지속시간 10분	
SKILL_20190110_007709	嚎叫	하울링	
SKILL_20190110_007710	宠物以喊叫声威胁敌人。发生Debuff的敌人暴击抵抗会减少。	컴패니언이 울음소리로 적들을 위협합니다. 디버프에 걸린 적들의 치명타 저항이 감소합니다.	
SKILL_20190110_007711	暴击抵抗力减少 #{CaptionRatio}#% {nl}持续时间 15秒	치명타 저항 #{CaptionRatio}#% 감소{nl}지속시간 15초	
SKILL_20190110_007712	发射用嘴吹出的毒箭，可长时间持续造成伤害。{nl}	입으로 부는 독화살을 발사하여 긴 시간 동안 지속적인 피해를 줍니다.{nl}	SKILL_20180327_001206	{#DD5500}{ol}[飞弹：弓] - [毒]{/}{/}{nl}发射用嘴吹出的毒箭，给予长时间的持续伤害。{nl}	{#DD5500}{ol}[미사일:활] - [독]{/}{/}{nl}입으로 부는 독화살을 발사하여 긴 시간 동안 지속적인 피해를 줍니다.{nl}	
SKILL_20190110_007713	每0.5秒技能係数 #{SkillFactor}#%{nl}{#339999}{ol}[毒]{/}{/} 持续时间 #{CaptionRatio2}#秒{nl}消耗毒瓮#{SpendPoison}#	0.5초당 스킬 계수 #{SkillFactor}#%{nl}{#339999}{ol}[독]{/}{/} 지속시간 #{CaptionRatio2}#초{nl}포이즌 팟 독 #{SpendPoison}# 소비	
SKILL_20190110_007714	发射传染性高的毒箭。中毒对象每次受到魔法攻击时，会向周边散播毒。{nl}	전염성이 강한 독화살을 발사합니다. 중독 대상은 공격을 받을 때마다 주변으로 독을 전파합니다. {nl}	SKILL_20180327_001212	{#DD5500}{ol}[飞弹：弓] - [毒]{/}{/}{nl}发射传染性高的毒箭。中毒对象每次受到魔法攻击时，会向周边传播毒。{nl}	{#DD5500}{ol}[미사일:활] - [독]{/}{/}{nl}전염성이 강한 독화살을 발사합니다. 중독 대상은 공격을 받을 때마다 주변으로 독을 전파합니다. {nl}	
SKILL_20190110_007715	投掷装有毒的罐子产生毒坑。踩到毒坑的敌人会变成中毒状态。就算脱离毒坑，也会在一定时间受到伤害。	독이 든 항아리를 던져 독 웅덩이를 만듭니다. 웅덩이를 밟은 적은 중독 상태가 됩니다. 독 웅덩이를 벗어나도 일정시간 피해를 입습니다.	SKILL_20180327_001214	{#DD5500}{ol}[物理] - [毒]{/}{/}{nl}投掷装有毒的罐子，产生毒坑。踩到毒坑的敌人会变成中毒状态。{nl}	{#DD5500}{ol}[물리] - [독]{/}{/}{nl}독이 든 항아리를 던져 독 웅덩이를 만듭니다. 웅덩이를 밟은 적은 중독 상태가 됩니다.{nl}	
