ITEM_20180327_000001	无 helmet	없음_helmet	
ITEM_20180327_013292	王国军警备兵之枪	왕국군 경비병의 창	
ITEM_20180327_013293	王国军警备兵们使用的枪。	왕국군 경비병들이 사용하는 창.	
ITEM_20180327_013294	王国军警备兵的胸甲	왕국군 경비병의 흉갑	
ITEM_20180327_013295	王国军警备兵们配戴的防具。	왕국군 경비병들이 착용한 방어구.	
ITEM_20180327_013296	栅栏用木材	방책용 목재	
ITEM_20180327_013297	木材的大小适合用来设栅栏。	방책을 세우기에 적당한 크기의 목재.	
ITEM_20180327_013298	纳什菇	나시 버섯	
ITEM_20180327_013299	制作认证票所需材料，看起来很好吃的样子。	인증표를 만들기 위한 재료. 맛있게 생겼습니다.	
ITEM_20180327_013300	大地结晶	대지의 결정	
ITEM_20180327_013301	制作认证票所需材料，大地的力量渗入怪物体内了。	인증표를 만들기 위한 재료. 대지의 기운이 몬스터에게 스며들었습니다.	
ITEM_20180327_013302	认证票	인증표	
ITEM_20180327_013303	帮助让魔法装置可以安全地过去的物品。	마법 장치를 안전하게 지나갈 수 있도록 돕는 물건.	
ITEM_20180327_013304	戒指	반지	
ITEM_20180327_013305	从士兵的遗物中出现的戒指	병사의 유물에서 나온 반지	
ITEM_20180327_013306	绿色因普罗大嘴怪的蛋	초록 인프로홀더의 알	
ITEM_20180327_013307	怪物的蛋，是制作束缚标志的材料。	몬스터의 알. 속박의 징표를 만들 재료입니다.	
ITEM_20180327_013308	魔族的骨头	마족의 뼈	
ITEM_20180327_013309	魔族的骨头，要用这个来做什麽呢？	마족의 뼈. 이걸로 무얼 만드려고?	
ITEM_20180327_013310	吸血的宝珠	흡수의 보주	
ITEM_20180327_013311	令人有坏心情的宝珠，听说它吸取魔族的活力。	기분 나쁜 느낌이 드는 보주. 마족의 생기를 흡수한다고 합니다.	
ITEM_20180327_013312	束缚的信物	속박의 증표	
ITEM_20180327_013313	可以强制束缚露克立斯时代的灵魂。	루클리스 시대의 영혼들을 강제로 속박할 수 있습니다.	
ITEM_20180327_013314	猫头鹰雕像包袱	부엉이 조각상 꾸러미	
ITEM_20180327_013315	装著雕刻师大师雕刻的猫头鹰雕像的包袱，是组合式的喔！	딥디르비 마스터가 만들어준 부엉이 조각상을 담은 꾸러미. 조립식입니다.	
ITEM_20180327_013316	防御陷阱的零件	방어 함정의 부품	
ITEM_20180327_013317	修理露克立斯的装置时所需要的零件，找到类似的零件即可。	루클리스의 장치를 수리하는데 필요한 부품. 비슷비슷한 부품을 찾으면 될 것 같습니다.	
ITEM_20180327_013318	魔族之血	마족의 피	
ITEM_20180327_013319	在魔法阵活性化上所需要的道具	마법진 활성화에 필요한 아이템	
ITEM_20180327_013320	动力装置	파워 장치	
ITEM_20180327_013321	叛乱军日志 1章	반란군 일지 1장	
ITEM_20180327_013322	露克立斯士兵们写过的纸条	루클리스의 병사들이 적었던 쪽지	
ITEM_20180327_013323	叛乱军日志 2章	반란군 일지 2장	
ITEM_20180327_013324	叛乱军日志 3章	반란군 일지 3장	
ITEM_20180327_013325	叛乱军日志 4章	반란군 일지 4장	
ITEM_20180327_013326	文件	문서	
ITEM_20180327_013327	写有关于位于大地要塞决战地的魔族对抗装置的内容的文件。	대지의 요새 결전지에 있는 마족 대항 장치와 관련된 내용이 적힌 문서	
ITEM_20180327_013328	在大地要塞发现到的第七个启示，可以阅读。	대지의 요새에서 발견된 일곱 번째 계시. 읽어 볼 수 있습니다.	
ITEM_20180327_013329	喇叭	나팔	
ITEM_20180327_013330	在下达彻退命令时使用的喇叭。	퇴각 명령을 내릴 때 쓰는 나팔	
ITEM_20180327_013331	路克塔奴的体液	록타눈의 체액	
ITEM_20180327_013332	具有酸性成份的路克塔奴体液。听说可以让植物枯死。	산성 성분이 있는 록타눈의 체액. 식물을 말려죽일 수 있다고 합니다.	
ITEM_20180327_013333	小叶的药草	작은 잎의 약초	
ITEM_20180327_013334	亚斯所说明的叶子很小，有裂口的药草似乎就是这个的样子。	아스가 설명해 준 잎이 작고 갈라져있는 약초가 이것인 것 같습니다.	
ITEM_20180327_013335	流动商人的手帕	행상인의 손수건	
ITEM_20180327_013336	流动商人的手帕，为了让拉舒可以闻到，罗洁所给的服装散发一股酸臭味。	행상인의 손수건, 라쉬가 냄새를 맡을 수 있게 로제가 건내준 옷. 시큼한 냄새가 난다.	
ITEM_20180327_013337	流动商人的裤子	행상인의 바지	
ITEM_20180327_013338	流动商人的裤子，为了让拉舒可以闻到，罗洁所给的服装散发一股酸臭味。	행상인의 바지, 라쉬가 냄새를 맡을 수 있게 로제가 건내준 옷. 시큼한 냄새가 난다.	
ITEM_20180327_013339	流动商人的衬衫	행상인의 셔츠	
ITEM_20180327_013340	流动商人的衬衫，为了让拉舒可以闻到，罗洁所给的服装散发一股酸臭味。	행상인의 셔츠, 라쉬가 냄새를 맡을 수 있게 로제가 건내준 옷. 시큼한 냄새가 난다.	
ITEM_20180327_013341	安德雷斯的行李包袱	안드레스의 짐보따리	
ITEM_20180327_013342	流动商人安德雷斯的商品包袱，裡面装有他投入全副身家购入的昂贵物品。	행상인 안드레스의 상품 보따리. 전 재산을 투자한 비싼 물건들이 들어있습니다.	
ITEM_20180327_013343	伦奇亚草	론지아 풀	
ITEM_20180327_013344	採药者戴伊斯所拜託的药草。镇痛效果很卓越。	약초꾼 테일스가 부탁한 약초. 진통효과가 탁월합니다.	
ITEM_20180327_013345	塔玛拉的中和剂	타마라의 중화제	
ITEM_20180327_013346	牧师次级大师所调配的中和剂。中和邪恶的力量。	클레릭 서브 마스터가 지어 준 중화제. 사악한 기운을 중화합니다.	
ITEM_20180327_013347	达旦森林实验日志第1章	다단 숲 실험 일지 1장	
ITEM_20180327_013348	以人类语言撰写的实验日志。点击滑鼠右键就可以阅读。	인간의 언어로 쓰여진 실험 일지. 우클릭하여 읽어볼 수 있다.	
ITEM_20180327_013349	达旦森林实验日志第2章	다단 숲 실험 일지 2장	
ITEM_20180327_013350	达旦森林实验日志第3章	다단 숲 실험 일지 3장	
ITEM_20180327_013351	达旦森林实验日志第4章	다단 숲 실험 일지 4장	
ITEM_20180327_013352	绿色幻影亡灵的精髓	초록 어패리션의 정수	
ITEM_20180327_013353	为了开启特别阅览室，能够证明是魔族的精髓。	특별 열람실을 열기 위해 마족임을 증명할 수 있는 정수.	
ITEM_20180327_013354	实验受害者的遗物	실험 피해자의 유품	
ITEM_20180327_013355	无法再次见到此遗物的主人。	이 유품의 주인을 다시 만날 길이 없습니다.	
ITEM_20180327_013356	席尔贝斯的背包	힐베스의 배낭	
ITEM_20180327_013357	实验受害者席尔贝斯的背包。装满来历不明的药草。	실험 피해자 힐베스의 배낭. 알 수 없는 약초가 잔뜩 들어있습니다.	
ITEM_20180327_013358	粗环戒指	알이 굵은 반지	
ITEM_20180327_013359	适合男生配戴的粗环戒指。戒指的主人不会被看见。	남자가 낄 법한 알이 굵은 반지. 반지의 주인은 보이지 않습니다.	
ITEM_20180327_013360	纤细的手镯	가느다란 팔찌	
ITEM_20180327_013361	纤细的女性用手镯。好像没这麽老旧。	가느다란 여성용 팔찌. 오래된 건 아닌 것 같습니다.	
ITEM_20180327_013362	挂有宝石的项鍊	보석이 달린 목걸이	
ITEM_20180327_013363	挂有宝石的项鍊。在背面写有给最爱的母亲。	보석이 달린 목걸이. 뒷면에 사랑하는 어머님께 라고 쓰여져 있습니다.	
ITEM_20180327_013364	有刺绣的手帕	자수가 놓인 손수건	
ITEM_20180327_013365	手帕上的刺绣非常精巧，花费许多的心血。	손수건에 놓여 있는 자수는 매우 정교하고 정성이 많이 들어갔습니다.	
ITEM_20180327_013366	诺巴哈修道院的圣物碎片	노바하 수도원의 성물 파편	
ITEM_20180327_013367	贡奉在诺巴哈修道院的圣物碎片。	노바하 수도원에 모셔지고 있는 성물이 부서진 파편. 	
ITEM_20180327_013368	褐色贺敏勃德的黏液	갈색 허밍버드의 점액	
ITEM_20180327_013369	褐色贺敏勃德的黏液。会是魔法师放置在装置上的黑色物体之一吗？	갈색 허밍버드의 점액. 마법사가 장치에 넣던 검은 물체 중 하나일까요?	
ITEM_20180327_013370	褐色贺敏勃德的结晶	갈색 허밍버드의 결정	
ITEM_20180327_013371	褐色贺敏勃德的结晶。会是魔法师放置在装置上的黑色物体之一吗？	갈색 허밍버드의 결정. 마법사가 장치에 넣던 검은 물체 중 하나일까요?	
ITEM_20180327_013372	褐色贺敏勃德的脚趾甲	갈색 허밍버드의 발톱	
ITEM_20180327_013373	褐色贺敏勃德的脚趾甲。会是魔法师放置在装置上的黑色物体之一吗？	갈색 허밍버드의 발톱. 마법사가 장치에 넣던 검은 물체 중 하나일까요?	
ITEM_20180327_013374	魔族的精髓	마족의 정수	
ITEM_20180327_013375	为制作保护结界水晶所需的材料。可以从诺巴哈本院的死产斯凯伯身上获得。	보호 결계 수정을 만들기 위한 재료. 노바하 본원의 데드본스캡에게서 얻을 수 있습니다.	
ITEM_20180327_013376	实验日志 1章	실험 일지 1장	
ITEM_20180327_013377	实验日志 2章	실험 일지 2장	
ITEM_20180327_013378	实验日志 3章	실험 일지 3장	
ITEM_20180327_013379	保护结界水晶	보호 결계 수정	
ITEM_20180327_013380	法师次级大师为了罗洁兄妹给予用制造书所制作的水晶，用这个就可以从魔族的手中守护兄妹。	위저드 서브 마스터가 로제 남매를 위해서 준 제작서로 만든 수정. 이것으로 마족에게서 남매를 지킬 수 있습니다.	
ITEM_20180327_013381	空的结界水晶	빈 결계 수정	
ITEM_20180327_013382	为制作保护结界水晶所需的材料，法师次级大师所给的。	보호 결계 수정을 만들기 위한 재료. 위저드 서브 마스터가 주었습니다.	
ITEM_20180327_013383	复原的诺巴哈修道院的圣物	복원된 노바하 수도원의 성물	
ITEM_20180327_013384	修道土阿贝尔斯用尽最后力量所复原的圣物	수도사 아벨스가 마지막 힘을 다해 복구한 성물입니다.	
ITEM_20180327_013385	木材	목재료	
ITEM_20180327_013386	木制栅栏	목책	
ITEM_20180327_013387	黑色石頭	검은 돌	
ITEM_20180327_013388	强化炸弹威力的时候所必需的道具。	폭탄의 위력을 강화시킬 때 필요한 아이템	
ITEM_20180327_013389	强化炸弹	강화된 폭탄	
ITEM_20180327_013390	寻找矿石所使用的探测器。	광석을 찾는데 사용하는 탐지기	
ITEM_20180327_013391	蓝色克洛纽特毒针术士的魔力结晶。	푸른 크로뉴트 독침술사의 마력 결정	
ITEM_20180327_013392	蕴含魔力的石头	마력이 깃든 돌	
ITEM_20180327_013393	淨化怪物的精髓	정화된 몬스터의 정수	
ITEM_20180327_013394	法师突尔利斯的特制卷轴	위저드 튤리스의 특제 스크롤	
ITEM_20180327_013395	法师突尔利斯制作的卷轴。	위저드 튤리스가 만든 스크롤	
ITEM_20180327_013396	提尼的唾液腺	티니의 침샘	
ITEM_20180327_013397	变换的蓝色霍亨里托的精髓	변환된 푸른 호헨 리터의 정수	
ITEM_20180327_013398	竹岛里草	죽두리 풀	
ITEM_20180327_013399	具有消毒效果的药材。	소독 효과가 있는 약재	
ITEM_20180327_013400	强化炸弹所需要的黑色石头。	폭탄 강화에 필요한 검은 돌	
ITEM_20180327_013401	雪白地鼠兽的精髓	하얀 스피온의 정수	
ITEM_20180327_013402	探测晶球	탐지 구슬	
ITEM_20180327_013403	席克里儿草	시클리엔 풀	
ITEM_20180327_013404	村庄居民阿勒基斯制作的炸弹。	마을 주민 아르기스가 만든 폭탄	
ITEM_20180327_013405	淨化之珠	정화의 구	
ITEM_20180327_013406	要破坏被诅咒的雕刻象所需要的珠子	저주 받는 조각상을 파괴에 필요한 구	
ITEM_20180327_013407	神圣护具	신성한 보구	
ITEM_20180327_013408	被改造的炸弹	개조된 폭탄	
ITEM_20180327_013409	晶球碎片	구슬 조각	
ITEM_20180327_013410	在避难区域发现的晶球碎片。闪烁著耀眼的光芒。	피난 거주구에서 발견한 구슬 조각. 반짝 반짝 빛이 난다.	
ITEM_20180327_013411	在避难区域发现的炸弹。再怎麽坚硬的物品也能轻易就破坏。	피난 거주구에서 발견한 폭탄. 단단한 물체도 쉽게 파괴할 수 있을 정도의 파괴력을 가지고 있다.	
ITEM_20180327_013412	露克立斯的部队信物	루클리스 부대 증표	
ITEM_20180327_013413	从露克立斯殿堂的将校灵魂那裡取得的信物。	루클리스 전당에 있는 장교 영혼에게서 받은 증표.	
ITEM_20180327_013414	种子	씨앗	
ITEM_20180327_013415	看起来很平凡的种子	평범해 보이는 씨앗	
ITEM_20180327_013416	证明的种子	증명된 씨앗	
ITEM_20180327_013417	能散播巴伊宝拉的库鲁的种子	바이보라의 코루를 피울 수 있는 씨앗	
ITEM_20180327_013418	拉昆的精髓	라콘의 정수	
ITEM_20180327_013419	以纯粹的状态制造时，能当作盛装神圣力的容器使用。	순수한 상태로 만들면 신성력을 담을 수 있는 그릇으로 사용할 수 있다.	
ITEM_20180327_013420	艾勒克斯蕨	아르커스 고사리	
ITEM_20180327_013421	接受神圣力滋养长大的艾勒克斯蕨。在将高沙卢的精髓制作到纯粹状态时使用。	신성력을 받고 자란 아르커스 고사리. 고사루의 정수를 순수한 상태로 만들 때 사용.	
ITEM_20180327_013422	盛装神圣力的精髓	신성력이 담긴 정수	
ITEM_20180327_013423	多隆伊的皮肤	다롱이의 피부	
ITEM_20180327_013424	奥斯卡拉斯实验需要的材料之一	오스카라스 실험에 필요로한 재료 중 하나	
ITEM_20180327_013425	图隆伊的皮肤	도룡이의 피부	
ITEM_20180327_013426	帕玛勒蕨叶	파마르 고사리	
ITEM_20180327_013427	奥斯卡拉斯实验需要的材料之一	오스카라스 실험에 필요로한 재료 중 하나인 파마르 고사리	
ITEM_20180327_013428	图尔洛花	튤럽	
ITEM_20180327_013429	奥斯卡拉斯实验需要的材料之一	오스카라스 실험에 필요로한 재료 중 하나인 튤럽	
ITEM_20180327_013430	麻醉剂	마취제	
ITEM_20180327_013431	奥斯卡拉斯说抓实验中会用到的怪物时需要而给的药。对变弱的怪物使用的话可以使怪物麻痺。	오스카라스가 실험에 쓰일 몬스터를 구하기 위해 필요하다며 건네준 약. 약해진 몬스터에게 사용하면 몬스터가 마비된다고 한다.	
ITEM_20180327_013432	空瓶子	빈 병	
ITEM_20180327_013433	装奥斯卡拉斯的实验中需要的水的瓶子	오스카라스의 실험에 필요한 물을 담기 위한 병	
ITEM_20180327_013434	土壤	토양	
ITEM_20180327_013435	奥斯卡拉斯的实验中使用的土壤标本	오스카라스의 실험에 사용하려는 토양 표본	
ITEM_20180327_013436	水	물	
ITEM_20180327_013437	奥斯卡拉斯的实验中需要的装有水的瓶子	오스카라스의 실험에 필요한 물이 담긴 병	
ITEM_20180327_013438	装有捕获多隆伊的布袋	포획한 다롱이가 든 자루	
ITEM_20180327_013439	奥斯卡拉斯的实验需要的多隆伊	오스카라스의 실험에 필요한 다롱이	
ITEM_20180327_013440	装有捕获图隆伊的布袋	포획한 도룡이가 든 자루	
ITEM_20180327_013441	奥斯卡拉斯的实验需要的图隆伊	오스카라스의 실험에 필요한 도룡이	
ITEM_20180327_013442	尚未熟成的帕玛勒蕨叶	덜 자란 파마르 고사리	
ITEM_20180327_013443	已经熟成的帕玛勒蕨叶	다 자란 파마르 고사리	
ITEM_20180327_013444	图隆伊的精髓	도룡이의 정수	
ITEM_20180327_013445	可用作治疗剂材料的图隆伊的精髓	치료제의 재료로 쓰일 도룡이의 정수	
ITEM_20180327_013446	能作为治疗剂材料使用的蓬蓬的精髓。对图隆伊的精髓中的魔力产生红色光芒反应的物质。	치료제 재료로 쓰일 폰폰의 정수. 도룡이의 정수에 들어있는 마력에 붉은 빛으로 반응하는 물질이 치료제 쓰일 재료.	
ITEM_20180327_013447	闪烁花	빙크 꽃	
ITEM_20180327_013448	对B 怪物的魔力反应发出红光的闪烁花。	B 몬스터의 마력에 붉은 빛으로 반응한 빙크 꽃.	
ITEM_20180327_013449	治疗剂	치료제	
ITEM_20180327_013450	波皮蕨	포피 고사리	
ITEM_20180327_013451	爱尔力草	아일리 풀	
ITEM_20180327_013452	弗里亚花瓣	프리아 꽃잎	
ITEM_20180327_013453	留有比尔卡斯强烈味道的毛	빌카스의 냄새가 강하게 남아있는 털	
ITEM_20180327_013454	造箭者之箭探测器制造书	플레세트 탐색기 제작서	
ITEM_20180327_013455	造箭者大师给的能制作造箭者之箭探索装置的制作书	플레처 마스터가 준 플레세트 탐색 장치를 만들 수 있는 제작서	
ITEM_20180327_013456	洛姆贝尔努卡的魔力精髓	롬펠누카의 마력 정수	
ITEM_20180327_013457	制作造箭者之箭探索装置时需要的洛姆贝尔努卡的魔力精髓	플레세트 탐색 장치를 만들 때 필요한 롬펠누카의 마력 정수	
ITEM_20180327_013458	比尔卡斯的精髓	빌카스의 정수	
ITEM_20180327_013459	制作造箭者之箭探索装置时需要的比尔卡斯的精髓	플레세트 탐색 장치를 만들 때 필요한 빌카스의 정수	
ITEM_20180327_013460	造箭者之箭探索装置	플레세트 탐색 장치	
ITEM_20180327_013461	帮助寻找造箭者之箭的装置	플레세트를 찾는데 도움이 되는 탐색 장치	
ITEM_20180327_013462	造箭者之箭	플레세트	
ITEM_20180327_013463	过去利迪亚夏班使用的箭	과거 리디아 사펜이 사용한 화살	
ITEM_20180327_013464	造箭者大师的证明之箭	플레처 마스터의 증명된 화살	
ITEM_20180327_013465	变型魔法解除文件	변형 마법 해제 문서	
ITEM_20180327_013466	此文件写有解除卡杜梅尔国王的纪念碑上的变形魔法的方法	카듀멜 국왕이 세운 기념비에 걸린 변형 마법을 풀 수 있는 방법이 적힌 문서	
ITEM_20180327_013467	魔法解除宝珠	마법 해제 보주	
ITEM_20180327_013468	解除卡杜梅尔国王的纪念碑上的变形魔法时使用的宝珠	카듀멜 국왕이 세운 기념비에 걸린 변형 마법을 푸는데 사용할 보주	
ITEM_20180327_013469	活力之球	활력의 구	
ITEM_20180327_013470	为宝珠注入能量时需要的物件	보주에 에너지 채워넣을 때 필요한 물건	
ITEM_20180327_013471	比尔卡斯乾巴巴的皮肤	빌카스의 바짝 마른 피부	
ITEM_20180327_013472	似乎容易燃烧的比尔卡斯的皮肤	불에 잘 탈 것 같은 빌카스의 피부	
ITEM_20180327_013473	魔力探知器	마법력 탐지기	
ITEM_20180327_013474	能探知变型魔法魔力的探知器	변형 마법에서 나오는 마법력을 탐지 할 수 있는 탐지기	
ITEM_20180327_013475	刻有文字的碑石碎片	글자가 새겨진 비석 조각	
ITEM_20180327_013476	卡杜梅尔国王的纪念币碎片	카듀멜 국왕의 기념비 파편	
ITEM_20180327_013477	比尔卡斯的唾液腺	빌카스의 침샘	
ITEM_20180327_013478	酸性强烈的比尔卡斯的唾液腺	산성이 강한 빌카스의 침샘	
ITEM_20180327_013479	纯淨的精髓	깨끗한 정수	
ITEM_20180327_013480	祭司凯勒堤制作的纯淨精髓。带著这个精髓能注入神圣力。	사제 개러티가 깨끗하게 만들어 놓은 정수. 정수를 가지고 신성력을 담아낼 수 있다.	
ITEM_20180327_013481	米泰力药草	미탤리 약초	
ITEM_20180327_013482	缓解麻痺症状的药草，有麻痺症状的祭司林塔斯非常需要。	마비 증세를 완화시켜주는 약초. 마비 증세가 있는 사제 린타스에게 필요한 약초이다	
ITEM_20180327_013483	米塔哈林草	미타하린 풀	
ITEM_20180327_013484	能让高沙卢的唾液酸性更强的草	고사루의 침을 더 강한 산성으로 만들 수 있는 풀	
ITEM_20180327_013485	魔法珠	마법 구슬	
ITEM_20180327_013486	防止材料腐败的魔法珠。正确知道魔法珠使用方法的死灵法师并不多，死灵法师大师用于测试弟子们的实力。	재료가 부패하지 않게 방지해주는 구슬. 구슬을 제대로 다룰 줄 아는 네크로맨서가 많지 않아 네크로맨서 마스터가 제자들의 실력을 시험하기 위해 사용한다.	
ITEM_20180327_013487	蓝色毕托尔怪物的唾液腺	푸른 비토우 몬스터의 침샘	
ITEM_20180327_013488	带有独特香气的蓝色毕托尔的唾液腺。	독특한 향을 가진 푸른 비토우의 침샘. 	
ITEM_20180327_013489	大约消化一半的草	반 쯤 소화된 풀	
ITEM_20180327_013490	鍊金术士大师制香时用到的材料之一	알케미스트 마스터가 향을 만드는데 쓰이는 재료 중 하나인 반 쯤 소화된 풀	
ITEM_20180327_013491	寄生在艾可拉斯赫普体内的虫	아클라스 험프의 몸에 사는 벌레	
ITEM_20180327_013492	鍊金术士大师制香时用到的材料之一。主要寄生在艾可拉斯赫普的体内。	알케미스트 마스터가 향을 만드는데 쓰이는 재료 중 하나인 벌레. 주로 아클라스 험프의 몸에 기생하면 산다.	
ITEM_20180327_013493	支配的图章	지배의 인장	
ITEM_20180327_013494	为了支配恶灵还不熟练的弟子们制作的印章。	악령을 지배하고 사용하는 기술에 익숙하지 않는 제자들을 위해 만든 인장.	
ITEM_20180327_013495	野兽怪物血液	야수 몬스터 혈액	
ITEM_20180327_013496	野兽怪物的血液	야수 몬스터의 혈액	
ITEM_20180327_013497	植物怪物体液	식물 몬스터 체액	
ITEM_20180327_013498	植物怪物的血液	식물 몬스터의 혈액	
ITEM_20180327_013499	水晶球	수정구	
ITEM_20180327_013500	贤者大师在找的书。	세이지 마스터가 찾고 있는 책.	
ITEM_20180327_013501	魔力吸收水晶	마력 흡수 수정	
ITEM_20180327_013502	能吸收魔力的水晶。在判断是否具有附魔师资质时使用的水晶	마력을 흡수 할 수 있는 수정. 인챈터로서 충분한 자질을 갖췄는지를 판단하는데 사용하는 수정	
ITEM_20180327_013503	审判者大师写的佈告文	인퀴지터 마스터가 쓴 포고문	
ITEM_20180327_013504	审判之书	심판의 서	
ITEM_20180327_013505	写有关于异端、异教徒内容的书籍	이단, 이교도에 대한 내용이 적혀있는 서적	
ITEM_20180327_013506	试验用符咒	시험용 부적	
ITEM_20180327_013507	道士大师要你更熟悉符咒使用方法而给的符咒。虽然上面什麽也没写，但使用时会有各种符咒的效果。	도사 마스터가 부적 사용법에 대해서 익히라고 준 부적. 괴황지에 아무것도 그려져 있지 않지만, 사용 시 여러가지 부적 효과를 낸다고 한다.	
ITEM_20180327_013508	带有魔力的血液	마력이 서린 혈액	
ITEM_20180327_013509	死灵法师大师需要的材料	네크로맨서 마스터가 필요로 하는 재료	
ITEM_20180327_013510	怪物血液	몬스터의 혈액	
ITEM_20180327_013511	制作符咒时所需要的怪物血液。	부적을 만드는데 필요한 몬스터의 혈액	
ITEM_20180327_013512	解除的印章	해제의 인장	
ITEM_20180327_013513	能解除妖术师大师造成的诅咒的印章，但只能解开较弱的诅咒。	페더풋 마스터가 만든 저주를 풀 수 있는 인장. 약한 저주만을 풀 수 있다.	
ITEM_20180327_013514	蕴藏诅咒的物品	저주가 서린 물건	
ITEM_20180327_013515	在科诺特树林互相残杀而死的士兵们的物品，物品中带著诅咒。	코노트 숲에서 서로 싸우다 죽은 병사들의 물건. 물건에는 저주가 서려있다.	
ITEM_20180327_013516	淨化宝珠	정화의 보주	
ITEM_20180327_013517	淨化魔气时使用的宝珠。	마기를 정화하는데 사용하는 보주.	
ITEM_20180327_013518	白木飞蛾的茧	흰나무 숲 나방의 고치	
ITEM_20180327_013519	只栖息在白木森林的飞蛾幼虫在草堆裡作的茧。可以抽出非常强韧的丝。	흰나무숲에만 서식하는 나방 애벌레가 풀더미에 만들어 놓은 고치. 여기서 꽤 질긴 실을 뽑아낼 수 있다.	
ITEM_20180327_013520	头花	머리꽃	
ITEM_20180327_013521	普罗雷比头上黏著的花。好好弄乾裡面的种子可以食用。	플로래비의 머리에 붙어 있던 꽃. 잘 말리면 안에 있는 씨앗들을 먹을 수 있다.	
ITEM_20180327_013522	木頭	나무	
ITEM_20180327_013523	制作补修用木材时需要的木头	보수용 목재를 만들 때 필요한 나무	
ITEM_20180327_013524	木材制作道具	목재 제작 도구	
ITEM_20180327_013525	制作栅栏修理用木材的道具	방책 수리용 목재를 만드는 도구	
ITEM_20180327_013526	栅栏修理用木材	방책 수리용 목재	
ITEM_20180327_013527	普罗伦的皮革	플로론의 가죽	
ITEM_20180327_013528	兰朵林草	란둘린 초	
ITEM_20180327_013529	淨化白木裡带毒性的水时使用的草	흰나무 독성이 들어간 물을 정화하는데 사용하는 초	
ITEM_20180327_013530	白木的水	흰나무숲의 물	
ITEM_20180327_013531	白木裡带毒性的水	흰나무 독성이 들어간 물	
ITEM_20180327_013532	缆车配件包	케이블 카 부품 자루	
ITEM_20180327_013533	装有能修理缆车的配件和材料的配件包。	케이블카를 수리할 수 있도록 부품들과 재료들을 담아 둔 자루.	
ITEM_20180327_013534	装有笔记道具的包包	필기도구가 든 가방	
ITEM_20180327_013535	葳荷米娜凯利奥特要你写下大地要塞相关注意事项才给你的装有笔记道具的包包。	빌헬미나 캐리어트가 대지의 요새에 대한 사항을 적어달라고 준 필기도구가 들어있는 가방	
ITEM_20180327_013536	装满物品的布袋	물건이 담긴 자루	
ITEM_20180327_013537	伪装成迪库盗墓团的一份子潜入的阿曼达盗墓团的亚勒奇达斯透过盗墓团员将物品转交给葳荷米娜凯利奥特。但是，没见到同伴出现,开始焦躁的亚勒奇达斯拜託你代替他将东西转交给葳荷米娜凯利奥特。	디코 도굴단에 위장해서 들어가 있는 아만다 도굴단의 아르기다스는 동료 도굴꾼을 통해서 빌헬미나 캐리어트에게 물품을 전달하려고 했습니다. 하지만 동료들이 오지 않자 초초해진 아르기다스는 대신 빌헬미나 캐리어트에게 물품을 전달해달라고 합니다.	
ITEM_20180327_013538	罗洁的信	로제의 편지	
ITEM_20180327_013539	罗洁兄妹为了向克尼多斯森林的人们问好而捎来的信	로제남매가 크니도스 숲 사람들에게 안부를 전하기 위해서 작성한 편지	
ITEM_20180327_013540	安妮的信	안네의 편지	
ITEM_20180327_013541	安妮为了向罗洁兄妹问好而捎来的信	안네가 로제 남매에게 안부를 전하기 위해서 작성한 편지	
ITEM_20180327_013542	剑练习台碎片	검 연습대 파편	
ITEM_20180327_013543	剑练习台的碎片。我想高地战士次级大师看到这个碎片是不会放过我们的，可能在她面前跪下苦苦求饶她才会原谅我们吧！	검 연습대의 파편. 하이랜더 서브 마스터가 이 파편을 보면 가만 두지 않을까 싶다. 그녀에게 무릎 꿇고 손이 발이 되도록 빌어야 용서해줄 것 같다.	
ITEM_20180327_013544	剑练习台制作道具	검 연습대 제작 도구	
ITEM_20180327_013545	装有制作剑练习台所需的道具的箱子	검 연습대를 만드는 도구들이 들어있는 상자	
ITEM_20180327_013546	乌汀坚硬的木材	우딘의 단단한 나무	
ITEM_20180327_013547	乌汀坚硬的木材碎片，可以充分制作剑练习台的材料。	우딘의 단단한 나무조각. 검 연습대를 만드는데 충분한 재료	
ITEM_20180327_013548	完工的剑练习台	완성된 검 연습대	
ITEM_20180327_013549	完工的剑练习台	완성된 검 연습대.	
ITEM_20180327_013550	在诺巴哈修道院要建造追忆那些被魔族夺走的无辜性命的记念碑所用的石头	노바하 수도원에서 마족에게 희생당한 사람들을 추모하는 추모비를 세울 때 사용하려는 돌	
ITEM_20180327_013551	佩勒尼普的报告	페르니프의 보고서	
ITEM_20180327_013552	情报员佩勒尼普的报告	정보원 페르니프의 보고서	
ITEM_20180327_013553	祭祀物品	제사 도구	
ITEM_20180327_013554	看起来似乎是祭祀物品，贝拉伊村村长搞不好会知道呢…	제사 도구처럼 보인다. 벨라이 마을 촌장이라면 알지 않을까 싶다.	
ITEM_20180327_013555	贝拉伊村所使用的祭祀物品	벨라이 마을에서 사용하는 제사 도구	
ITEM_20180327_013556	在克尼多斯森林发现的纸条，可以读取。	크니도스 숲에서 발견한 쪽지. 읽어볼 수 있습니다.	
ITEM_20180327_013557	忍者的第二张纸条	시노비의 두번째 쪽지	
ITEM_20180327_013558	在贝拉伊森林发现的纸条，可以读取。	벨라이 숲에서 발견한 쪽지. 읽어볼 수 있습니다.	
ITEM_20180327_013559	忍者的第三张纸条	시노비의 세번째 쪽지	
