ITEM_20180327_000001	Empty_helmet	없음_helmet	
ITEM_20181102_016438	Asio Rod	아시오 로드	
ITEM_20181102_016439	The Asiomage is notably fond of this weapon, as it provides an increase in intelligence. More than a tool, it serves as a sort of mood-boosting toy to the monster. 	아시오 메이지 본인 한정으로 이것을 들 때 기분이 좋아집니다. 정신력이 올라가기 때문입니다. 정작 기분 전환용 장난감같은 정서적인 이유라고 생각합니다. 	
ITEM_20181102_016440	Wastrel Zvaigzde Rod	웨이스트럴 즈바이더 로드	
ITEM_20181102_016441	A long time ago, a wizard created a giant lock and key, and with that they produced this weapon. Despite its appearance, however, it's often used as a cane for walking.	아주 오래 전 어떤 마법사가 매우 큰 자물쇠를 만들고 그 열쇠로 이것을 만들었다고 합니다. 열쇠로 만들어졌지만, 지팡이로 짚고 다니는 일이 더 많았다고 합니다.	
ITEM_20181102_016442	Wastrel Zvaigzde Bow	웨이스트럴 즈바이더 보우	
ITEM_20181102_016443	All the equipment that disappeared during the accident of Nicopolis has returned in the exact same conditions, without any signs of the time that has passed. 	돌아온 니코폴리스의 장비는 사라질 때 구조와 모양이 그대로 입니다. 다시 말해 시간의 경과에 따른 노후화는 전혀 없습니다. 	
ITEM_20181102_016444	Asio Bow	아시오 보우	
ITEM_20181102_016445	{nl} {nl}Animal Friend: Rabbit{nl} - Skill attacks grant a 10% chance of summoning a rabbit, which applies one of two buffs.{nl} {nl} - Smiley Bunny: Critical Rate +20 per stack for 10 sec, triggers Angry Bunny after 3 stacks.{nl} - Angry Bunny: AoE Attack Ratio +2, final buff applied by rabbit (duration 15 sec).	{nl} {nl}동물 친구: 토끼{nl} - 스킬 공격시 10% 확률로 토끼가 소환됩니다.{nl} 토끼는 5초마다 2개의 버프 중 1개의 버프를 줍니다.{nl} {nl} - 스마일 바니: 10초간 치명타 발생 20씩 증가 3중첩시 앵그리 바니 발동 {nl} - 앵그리 바니: 광역 공격 비율 2증가 토끼가 더이상 버프를 주지 않습니다. (지속시간 15초)	
ITEM_20181102_016446	The Asiomage is carrying out research to improve the equipment originally developed by his other self, the Quipmage. This item, for example, is already more effective than when it first returned to our world.	아시오 메이지는 그의 다른 분체인 큅메이지가 제조한 장비를 개선하는 연구를 진행중입니다. 그러므로 이 장비는 우리 세계로 처음 돌아왔을 때보다 좋아졌습니다.	
ITEM_20181102_016447	Wastrel Zvaigzde Crossbow	웨이스트럴 즈바이더 크로스보우	
ITEM_20181102_016448	All Nicopolis equipment has returned to our world in the exact same conditions as when it disappeared, from its basic components down to the coatings of oil, now centuries old.	다시 우리 세계로 돌아온 니코폴리스 장비는 활줄같이 약한 부분은 물론이고 심지어 수백년 전에 칠해진 기름까지 그대로 남아있습니다.	
ITEM_20181102_016449	Asio Crossbow	아시오 크로스보우	
ITEM_20181102_016450	The Asiomage is not fond of this weapon. He still remembers being used as a living bullseye in past experiments, particularly for crossbows.	아시오 메이지는 이 장비를 싫어합니다. 이유는 자신이 실험체였던 당시 크로스보우의 표적이 된 일이 있기 때문입니다.	
ITEM_20181102_016451	Wastrel Zvaigzde Mace	웨이스트럴 즈바이더 메이스	
ITEM_20181102_016452	Some wizards of old Nicopolis were secretly opposed to the Kingdom, but in order to feign support, they developed a few weapons that make use of divine power. This is one of such weapons.	과거 니코폴리스의 일부 마법사는 내심으로는 왕국을 적대하면서 겉으로는 아닌 척하느라 신성력에 기반한 무기도 만들 필요가 있었습니다. 이 장비가 그 한 예입니다.	
ITEM_20181102_016453	Asio Mace	아시오 메이스	
ITEM_20181102_016454	{nl} {nl}Summon Shaman Doll{nl}  - One-handed Blunt weapon attacks grant a 10% chance of summoning a shaman doll (duration 5 sec, max. 1 doll).{nl} {nl}  - Destroy the doll to deal damage all around in proportion to its HP.{nl}  (Shaman doll HP: 30,000-50,000)	{nl} {nl}주술 인형 소환{nl}  - 한손 둔기로 공격시 10% 확률로 주술 인형을 소환합니다. (유지 시간: 5초, 최대 소환 가능 수: 1){nl} {nl}  - 주술 인형을 공격하여 파괴시 주술 인형의 체력에 비례하여 주위에 대미지를 줍니다.{nl}  (주술 인형 체력: 30,000 ~ 50,000)	
ITEM_20181102_016455	Some scientists complain that the name of this item is arbitrary, as it bears no resemblance to owls whatsoever.	책만 보는 일부 학자는 이 무기의 어디에도 올빼미의 특징이 없는데 왜 이런 이름인지 모르겠다고 불평합니다.	
ITEM_20181102_016456	Wastrel Zvaigzde Two-handed Mace	웨이스트럴 즈바이더 투 핸드 메이스	
ITEM_20181102_016457	Some of the items attracted by the Wastrel's bodily magic are actually harmful to it. Otherwise, the Wastrel would be even more powerful than it is now.	어떤 마법 장비는 웨이스트럴의 몸속에서 웨이스트럴에게 나쁜 영향을 미칩니다. 그렇지 않았다면 웨이스트럴은 지금보다 더 강했을 것입니다.	
ITEM_20181102_016458	Asio Two-handed Mace	아시오 투 핸드 메이스	
ITEM_20181102_016459	 - Demolition skill level {img green_up_arrow 16 16}2{nl}  - God Smash skill level {img green_up_arrow 16 16}2	 - 데몰리션 스킬 레벨 {img green_up_arrow 16 16}2증가{nl}  - 갓 스매시 스킬 레벨 {img green_up_arrow 16 16}2 증가	
ITEM_20181102_016460	This weapon is said to have been intended for an army of Golem monsters. It is unknown whether the Quipmage or the Asiomage have any memory of that fact.	본래의 제작의도는 골렘 종류의 병사를 많이 만들고 그들에게 이 무기를 주려고 했다고 합니다. 다만 지금의 큅메이지나 아시오 메이지에게 그런 과거의 기억이 있는지 모르겠습니다.	
ITEM_20181102_016461	Wastrel Zvaigzde Shield	웨이스트럴 즈바이더 실드	
ITEM_20181102_016462	 - Final Block Rate {img green_up_arrow 16 16}2%{nl}  -  5% chance of resisting rank 2 or lower status ailments	 - 최종블럭률 {img green_up_arrow 16 16}2%{nl}  -  5% 확률로 2랭크 이하 상태 이상 저항	
ITEM_20181102_016463	Fortunately for everyone, the Wastrel does not use this shield for protection. However, the shield is said to ease the pain of generating new equipment items.	다행히도 웨이스트럴이 이것으로 자신의 방어력을 올릴 일은 없습니다. 다만 다른 장비들이 발생시키는 고통은 조금 덜어준다고 합니다.	
ITEM_20181102_016464	Asio Shield	아시오 실드	
ITEM_20181102_016465	 - Final Block Rate {img green_up_arrow 16 16}2%{nl} {nl} Eye of the Asiomage{nl} - Provocation targets {img green_up_arrow 16 16}1	 - 최종블럭률 {img green_up_arrow 16 16}2%{nl} {nl} 아시오 메이지의 주시{nl} - 도발 대상 수 {img green_up_arrow 16 16}1명	
ITEM_20181102_016466	Unlike other Asio items, this one faithfully represents the style and conventions popular in old Nicopolis before the great accident.	다른 아시오 무기들과 달리 이것은 과거 니코폴리스가 사라진 시대에 유행하던 방식을 잘 나타낸 방패입니다.	
ITEM_20181102_016467	Wastrel Zvaigzde Spear	웨이스트럴 즈바이더 스피어	
ITEM_20181102_016468	Most items that contain magic gems have negative effects on the Wastrel's body. That can be considered a fortunate occurrence.	대개 이렇게 마법 보석이 포함된 장비는 웨이스트럴의 몸안에서 악영향을 미칩니다. 다행한 일입니다.	
ITEM_20181102_016469	Asio Spear	아시오 스피어	
ITEM_20181102_016470	A spear designed by a wizard. The Quipmage doesn't seem to have thought that the shape of this weapon would pose any problem.	마법사가 고안한 창다운 모습입니다. 용병에게 대량 공급하려 한 의도와 달리 모양에 문제가 있다는 생각을 큅메이지는 하지 못했습니다.	
ITEM_20181102_016471	Wastrel Zvaigzde Pike	웨이스트럴 즈바이더 파이크	
ITEM_20181102_016472	Of all the items attracted by the Wastrel, some are incorporated physically, while some have only their magic properties absorbed. Physically assimilated objects are thought to be constantly prodding the body of the Wastrel.	웨이스트럴에게 끌린 장비는 물리적으로 그 몸안에 있는 경우와 실체없이 마법적으로 함유된 경우가 있습니다. 물리적인 경우 끊임없이 웨이스트럴을 콕콕 찌르는 셈입니다.	
ITEM_20181102_016473	Asio Pike	아시오 파이크	
ITEM_20181102_016474	The Asiomage is missing crucial memories about his line of equipment, while the Quipmage wonders why he remembers such useless information. This is thought to be the reason why there is still no upgraded version of the Asio Pike. 	장비에 관련하여 아시오 메이지는 몇몇 꼭 필요한 부분에서 기억이 없습니다. 반면에 큅메이지는 자신이 왜 그런 쓸모없는 기억을 지니고 있는지 궁금해합니다. 따라서 아시오 파이크의 개량품은 나오지 않습니다. 	
ITEM_20181102_016475	Wastrel Zvaigzde Dagger	웨이스트럴 즈바이더 대거	
ITEM_20181102_016476	{nl} {nl}Black & White Mask{nl}ENH: Additional Holy property attack +30 per weapon enhancement stage starting from +10{nl} {nl}TRA: Additional Dark property attack +30 per transcendence stage{nl}(Max. increase in additional Holy/Dark attack: 300)	{nl} {nl}흑백 가면 {nl}강화: 무기 10강 이상부터 강화 수치 1당 신성 속성 추가 대미지 30 증가 {nl} {nl}초월: 초월 수치 1당 어둠 속성 추가 대미지 30 증가 {nl}(신성 속성 추가 대미지, 어둠 속성 추가 대미지 최대 증가량: 300)	
ITEM_20181102_016477	This item is thought to flow in the veins of the Wastrel. Although the monster's blood and circulatory system are very different from that of most living beings, it still seems to cause the Wastrel pain when it passes through certain regions of its body.	이 장비는 웨이스트럴의 혈관을 타고 그 몸안을 돌아다닌다고 합니다. 웨이스트럴의 피와 혈관은 일반적인 생물과는 많이 달라진 마법적인 성질을 지녔지만 그래도 특정부위를 지날 때는 아프다고 합니다.	
ITEM_20181102_016478	Asio Dagger	아시오 대거	
ITEM_20181102_016479	 - Dagger attacks in stealth mode increase damage by 15%	 - 은신 상태일 때 단검으로 공격시 대미지 15% 증가	
ITEM_20181102_016480	The Quipmage intended to use this weapon to assassinate the Pervading Queen and the Teal Specter. All three of these wizards had plans to annihilate the others, each through their own methods. 	이 장비는 큅메이지 본인이 직접 사용하려 했습니다. 물론 상대는 퍼베이딩 퀸과 틸스팩터이며 당연히 암살용입니다. 방법은 다르지만 이 세 마법사는 모두 상대의 등을 노리긴 마찬가지였습니다. 	
ITEM_20181102_016481	Wastrel Zvaigzde Staff	웨이스트럴 즈바이더 스태프	
ITEM_20181102_016482	In the early days of this weapon, it was common for it to break down into three pieces. Large amounts of magic were used to increase its durability, so much so that, now, it will not break even when it is fused into the Wastrel.	이 장비는 제조 초기에 세 부분으로 부러지는 일이 잦았습니다. 형체를 유지하도록 내구도를 올리는데 많은 마력이 사용되었고, 덕분에 웨이스트럴에 결합되어서도 부서지지 않았습니다.	
ITEM_20181102_016483	Asio Staff	아시오 스태프	
ITEM_20181102_016484	Unlike the Asio Rod, the Asio Staff is known to bring down the spirits of the Asiomage. The intelligence boost causes him to relive even more memories of his turbulent past.	아시오 로드와 달리 아시오 스태프는 아시오 메이지의 기분을 좋지 않게 합니다. 지능이 상승하기 때문에 불쾌한 기억들이 더 많이 생각나기 때문입니다.	
ITEM_20181102_016485	Wastrel Zvaigzde Pistol	웨이스트럴 즈바이더 피스톨	
ITEM_20181102_016486	 - Full Metal Jacket skill level {img green_up_arrow 16 16}2{nl}  - Retreat Shot skill level {img green_up_arrow 16 16}2	 - 풀 메탈 자켓 스킬 레벨 {img green_up_arrow 16 16} 2{nl}  - 후퇴 사격 스킬 레벨 {img green_up_arrow 16 16} 2	
ITEM_20181102_016487	Due to the gap created by Medzio Diena, the Wastrel's living quarters have begun to attract common items found in the present. This means that the Wastrel is not only surrounded by weapons like this pistol, but also by miscellaneous items like worn-out shoes and broken chairs.	웨이스트럴의 거처가 신수의 날 탓에 틈이 생기자 과거에서 넘어온 장비뿐 아니라 잡다한 현재의 다른 물품도 빨려들어갔다고 합니다. 따라서 이런 총이 아니라 헌 신발이나 부서진 의자 같은 그야말로 잡동사니가 나왔을 수도 있습니다.	
ITEM_20181102_016488	Asio Pistol	아시오 피스톨	
ITEM_20181102_016489	{nl} {nl}Target Set{nl} - Pistol attacks grant a 20% chance of applying the Target Set debuff.{nl} {nl} - Target Set deals 5,000-7,000 damage to 10 nearby enemies when it reaches 3 stacks.{nl} {nl} - Damage increased by 30% per nearby enemy affected by Target Set (max. increase: 700%).	{nl} {nl}타겟 설정{nl} - 피스톨 공격시 20% 확률로 피격된 적에게 타겟 설정 디버프를 부여합니다.{nl} {nl} - 타겟 설정 디버프 3회 중첩시 주위의 적 10명에게 5,000 ~ 7,000 대미지를 줍니다. {nl} {nl} - 주위에 타겟 설정 디버프에 걸린 대상 1당 * 30%씩 대미지가 증가합니다. (대미지 최대 700% 증가)	
ITEM_20181102_016490	The Asiomage is quite proud of this weapon. He began designing his own gunpowder weapons after returning to our world. 	아시오 메이지는 이 무기를 무척 자랑스럽게 여깁니다. 왜냐하면 화약을 사용하는 무기는 그가 귀환한 후 혼자서 고안한 것이기 때문입니다. 	
ITEM_20181102_016491	Wastrel Zvaigzde Rapier	웨이스트럴 즈바이더 레이피어	
ITEM_20181102_016492	Weapons like these with low slashing power can easily end up lodged in the Wastrel's body. Fortunately for the Wastrel, however, they do not cause him pain.	베는 힘이 약한 이런 장비는 웨이스트럴의 몸안에 쉽게 고정됩니다. 웨이스트럴 입장에서는 그나마 고통을 안 주는 유형입니다.	
ITEM_20181102_016493	Asio Rapier	아시오 레이피어	
ITEM_20181102_016494	 - Epee Garde skill level {img green_up_arrow 16 16}2	 - 에페 갸르드 스킬 {img green_up_arrow 16 16}2 증가	
ITEM_20181102_016495	Although the original designer of this weapon was the Pervading Queen, the Asiomage is the one currently developing it. The Pervading Queen has long lost interest in the production of equipment.	이 장비의 원래 고안자는 퍼베이딩 퀸입니다. 하여간 지금은 아시오 메이지가 개량중입니다. 퍼베이딩퀸은 장비제조에 관해서 관심을 잃은 지 오래입니다.	
ITEM_20181102_016496	  - Sweeping Cannon skill level {img green_up_arrow 16 16}1{nl}  - Cannon Barrage skill level {img green_up_arrow 16 16}1	 - 스위핑 캐논 스킬 레벨 {img green_up_arrow 16 16}1{nl}  - 캐논 배라지 스킬 레벨{img green_up_arrow 16 16}1	
ITEM_20181102_016497	Wastrel Zvaigzde Cannon	웨이스트럴 즈바이더 캐논	
ITEM_20181102_016498	 - Attacks in Bazooka status grant a 10% chance of applying the same damage as the previous attack.	 - 바주카 상태일 때 공격시 10% 확률로 이전 대미지와 동일한 대미지를 줍니다.	
ITEM_20181102_016499	Seeing as so many weapons are absorbed into the Wastrel's body, one would think at least some of them would be deployed inside of it.	이왕 이렇게 현대적으로 제조된 장비가 웨이스트럴에게 빨려들어갈 상황이라면 몸 안에서 몇발 발사되었다면 좋았을 텐데 말입니다.	
ITEM_20181102_016500	Asio Cannon	아시오 캐논	
ITEM_20181102_016501	 - Sweeping Cannon skill level {img green_up_arrow 16 16}2{nl}  - Siege Burst skill level {img green_up_arrow 16 16}2	 - 스위핑 캐논 스킬 레벨{img green_up_arrow 16 16}2{nl}  - 시즈 버스트 스킬 레벨{img green_up_arrow 16 16}2	
ITEM_20181102_016502	The Asiomage was heavily influenced by the excessive scholarly fervor that is typical of wizards, which led him to create unnecessary weapons for no apparent reason.	아시오 메이지가 그의 분체에게서 깊은 영향을 받은 것이 마법사 특유의 지나친 학구열입니다. 그저 만들 수 있다는 이유로 자신에게는 전혀 쓸모없는 무기를 만들어냈습니다.	
ITEM_20181102_016503	Wastrel Zvaigzde Musket	웨이스트럴 즈바이더 머스킷	
ITEM_20181102_016504	This weapon was not absorbed into the Wastrel's body by traveling through the gap that appeared during Medzio Diena. It is said to have been carried by an adventurer who attempted to defeat the Wastrel.	이 장비는 현대의 장비가 신수의 날로 벌어진 틈을 타고 웨이스트럴에게 들어간 것이 아닙니다. 웨이스트럴을 잡아보겠다고 들어간 어느 모험가의 유품이라고 봅니다.	
ITEM_20181102_016505	Asio Musket	아시오 머스킷	
ITEM_20181102_016506	After returning to our world and learning that many bird species had mutated into monsters, the Asiomage made plans to create his own army of birds to carry this weapon. A rather birdish thought, one might say.	그가 돌아온 세계에 조류가 변형된 몬스터가 많아졌다는 사실을 알게된 아시오 메이지는 그들에게 이 무기를 주어 자신의 군대를 만들 수 있다고 생각합니다. 새다운 생각입니다.	
ITEM_20181102_016507	Moon Rabbit Costume	달 토끼 코스튬	
ITEM_20181102_016508	Legends tell of a celestial rabbit that lives on the Moon and is often seen pounding rice in its mortar. Like all rabbits, it's as cute as a button.{nl}Can be exchanged for medals at the Exchange Shop.	복슬복슬한 털, 적당히 튀어나온 배, 너무나 귀여운 달 토끼로 변신할 수 있는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016509	Royal Envoy Costume (Male)	암행어사 예복(남)	
ITEM_20181102_016510	Undercover envoys of the royal court were special agents who scoured the Kingdom looking for outlaws and troublemakers.{nl}Can be exchanged for medals at the Exchange Shop.	암행어사가 특별한 행사가 있을 때 착용하는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016511	Royal Envoy Costume (Female)	암행어사 예복(여)	
ITEM_20181102_016512	Court Scholar Costume (Male)	장원급제 별감복(남)	
ITEM_20181102_016513	Becoming a royal scholar was no easy task: only the Kingdom's brightest minds were allowed to serve in the court.{nl}Can be exchanged for medals at the Exchange Shop.	장권급제 후 입궁할 때 착용하는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016514	Court Scholar Costume (Female)	장원급제 별감복(여)	
ITEM_20181102_016515	Black Ceremonial Robes (Male)	어사 흑단령(남)	
ITEM_20181102_016516	These robes were worn by undercover royal envoys to carry out top-secret missions.{nl}Can be exchanged for medals at the Exchange Shop.	암행어사가 비밀 임무를 맡을 때 착용하는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016517	Black Ceremonial Robes (Female)	어사 흑단령(여)	
ITEM_20181102_016518	White Wolf Costume (Male)	화이트 울프 코스튬(남)	
ITEM_20181102_016519	Wear this costume on a night of full moon to create a spooky ambiance. Use to change your appearance.{nl}Can be exchanged for medals at the Exchange Shop.	보름달이 뜨는 밤에 이 코스튬을 착용하면, 공포스러운 분위기를 만들 수 있습니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016520	White Wolf Costume (Female)	화이트 울프 코스튬(여)	
ITEM_20181102_016521	Black Cat Costume (Male)	블랙 캣 코스튬(남)	
ITEM_20181102_016522	Become a mysterious black cat on Halloween and wander into the night. Use to change your appearance.{nl}Can be exchanged for medals at the Exchange Shop.	할로윈 때 이 코스튬을 착용한다면, 멋과 공포스러운 분위기를 만족시킬 수 있는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016523	Black Cat Costume (Female)	블랙 캣 코스튬(여)	
ITEM_20181102_016524	Become a mysterious black cat on Halloween and wander into the night. Use to change your appearance.{nl}Can be exchanged for medals at the Exchange Shop.	할로윈 때 이 코스튬을 착용한다면, 아름다움과 공포스러운 분위기를 만족시킬 수 있는 코스튬입니다. 착용하면 외형이 변경됩니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016525	Spider Web Costume (Male)	스파이더 웹 코스튬(남)	
ITEM_20181102_016526	This costume is made of real spider webs processed through a special method. It's both cute and spooky, perfect for Halloween.{nl}Can be exchanged for medals at the Exchange Shop.	거미줄을 특수한 가공법으로 가공하여 만든 코스튬입니다. 귀여움과 약간의 공포스러운 분위기를 만족시킬 수 있는 코스튬입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016527	Spider Web Costume (Female)	스파이더 웹 코스튬(여)	
ITEM_20181102_016528	Jack-O-Lantern Costume (Male)	잭오랜턴 코스튬(남)	
ITEM_20181102_016529	It's no Halloween without the traditional Jack-O-Lantern, complete with creepy yellow eyes.	할로윈 잭오랜턴 코스튬입니다. 노랗게 빛나는 눈을 보면 으스스한 기분이 듭니다.	
ITEM_20181102_016530	Jack-O-Lantern Costume (Female)	잭오랜턴 코스튬(여)	
ITEM_20181102_016531	The chessboard is much more than part of game; it is a true battlefield.{nl}Can be exchanged for medals at the Exchange Shop.	체스판은 단순한 격자무늬판이지만, 킹 즉 왕국을 지키는 전쟁을 하는 전쟁터와 같습니다.{nl}이러한 체스판을 활용한 모자입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	ITEM_20180919_016386	The chessboard is much more than part of game; it is a true battlefield.{nl}Can be exchanged for medals at the Exchange Shop.	체스판은 단순한 격나무늬판이지만, 킹 즉 왕국을 지키는 전쟁을 하는 전쟁터와 같습니다.{nl}이러한 체스판을 활용한 모자입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016532	Horse Medal	마패	
ITEM_20181102_016533	This medal was used by undercover envoys to reveal their identity to higher officials and request aid for their missions. Now, it has been re-imagined as a hair accessory.{nl}Can be exchanged for medals at the Exchange Shop.	암행어사의 증표인 마패를 본뜬 헤어 액세서리입니다. 암행어사가 된 기분을 느낄 수 있습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016534	Satgat Hat	삿갓	
ITEM_20181102_016535	This style of hat was used to avoid the harsh sunlight on long trips to faraway regions.{nl}Can be exchanged for medals at the Exchange Shop.	여행을 떠날 때 머리에 쏟아지는 따가운 햇빛을 가릴 수 있는 기능성 모자입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016536	Black Gat Hat	흑립	
ITEM_20181102_016537	Those of the noble classes commonly wore this style of hat when walking or riding outside in the sun.{nl}Can be exchanged for medals at the Exchange Shop.	일정 계급 이상의 신분을 가진 사람이 바깥출입을 할 때 착용하는 모자입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016538	Wolf Mask	울프 마스크	
ITEM_20181102_016539	Awooooo! I'm a wolf!{nl}Can be exchanged for medals at the Exchange Shop.	아우우우~! 무서운 늑대 가면입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016540	Black Cat Ears	검은 고양이 귀	
ITEM_20181102_016541	Cute kitty ears for Halloween.{nl}Can be exchanged for medals at the Exchange Shop.	할로윈 고양이의 귀 장식입니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016542	Pumpkin Hair Accessory	호박 장식	
ITEM_20181102_016543	A fun hair accessory made to look like a neat little Jack-O-Lantern.	잭오랜턴을 귀엽게 형상화한 호박 머리 장식입니다.	
ITEM_20181102_016544	Purple Ribbon Witch Hat	보라 리본 마녀 모자	
ITEM_20181102_016545	The iconic hat of Halloween witches. This one comes with a purple ribbon.{nl}Can be exchanged for medals at the Exchange Shop.	멋쟁이 마녀와 마술사의 상징인 마녀 모자입니다. 보라색 리본이 달려있습니다.{nl}리사이클 샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016546	Red Ribbon Witch Hat	빨간 리본 마녀 모자	
ITEM_20181102_016547	The iconic hat of Halloween witches. This one comes with a red ribbon.{nl}Can be exchanged for medals at the Exchange Shop.	멋쟁이 마녀와 마술사의 상징인 마녀 모자입니다. 빨간색 리본이 달려있습니다.{nl}리사이클 샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016548	Wooden Pane Shield	세살문 실드	
ITEM_20181102_016549	Horse Medal Shield	마패 실드	
ITEM_20181102_016550	Moon Rabbit Cannon	달 토끼 캐논	
ITEM_20181102_016551	Cannon [Appearance]	캐논[외형 변경 전용]	
ITEM_20181102_016552	Moon Rabbit Staff	달 토끼 스태프	
ITEM_20181102_016553	Dumpling Rod	이색 송편 로드	
ITEM_20181102_016554	Brush Stroke Spear	일필휘지 스피어	
ITEM_20181102_016555	One-handed Spear [Appearance]	한손창[외형 변경 전용]	
ITEM_20181102_016556	Scimitar of Glory	일기당천 언월도	
ITEM_20181102_016557	Two-handed Spear [Appearance]	양손창[외형 변경 전용]	
ITEM_20181102_016558	Wooden Stick Mace	윷가락 메이스	
ITEM_20181102_016559	Apricot Blossom Crossbow	홍매화 크로스보우	
ITEM_20181102_016560	Crossbow [Appearance]	쇠뇌[외형 변경 전용]	
ITEM_20181102_016561	Roof Tile Dagger	기와지붕 대거	
ITEM_20181102_016562	Dagger [Appearance]	단검[외형 변경 전용]	
ITEM_20181102_016563	Jack-O-Lantern Two-handed Mace	잭오랜턴 투 핸드 메이스	
ITEM_20181102_016564	This item can only be used to change the appearance of another.{nl}Includes visual effects, which vary based on enhancement values.{nl}Does not consume Silver when used as appearance material.{nl}Can be exchanged for Medals at the Exchange Shop.	외형 변경 전용 아이템입니다.{nl}전용 이펙트가 존재합니다. 이펙트는 강화도에 따라 크기가 증가합니다.{nl}해당 아이템으로 외형 변경 시 소재와 실버를 소모하지 않습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016565	Pumpkin Rapier	펌프킨 레이피어	
ITEM_20181102_016566	Triple Jack-O-Lantern Sword	트리플 잭오랜턴 소드	
ITEM_20181102_016567	Chainsaw Two-handed Sword	공포의 전기톱 투 핸드 소드	
ITEM_20181102_016568	This item can only be used to change the appearance of another.{nl}Includes visual and sound effects, which play whenever the target is hit.{nl}Does not consume Silver when used as appearance material.{nl}Can be exchanged for Medals at the Exchange Shop.	외형 변경 전용 아이템입니다.{nl}전용 애니와 사운드가 존재합니다. 사운드는 대상을 공격 시 재생됩니다.{nl}해당 아이템으로 외형 변경 시 소재와 실버를 소모하지 않습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016569	Jack-O-Lantern Mace	잭오랜턴 메이스	
ITEM_20181102_016570	Broomstick Staff	마녀의 빗자루 스태프	
ITEM_20181102_016571	Bat Bow	박쥐 보우	
ITEM_20181102_016572	Jack-O-Lantern Spear	잭오랜턴 스피어	
ITEM_20181102_016573	Jack-O-Lantern Pike	잭오랜턴 파이크	
ITEM_20181102_016574	Pumpkin Dagger	펌프킨 대거	
ITEM_20181102_016575	Cat Pistol	고양이 피스톨	
ITEM_20181102_016576	This item can only be used to change the appearance of another.{nl}Includes sound effects, which play whenever the target is hit.{nl}Does not consume Silver when used as appearance material.{nl}Can be exchanged for Medals at the Exchange Shop.	외형 변경 전용 아이템입니다.{nl}전용 사운드가 존재합니다. 사운드는 대상을 공격 시 재생됩니다.{nl}해당 아이템으로 외형 변경 시 소재와 실버를 소모하지 않습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.	
ITEM_20181102_016577	Red Syringe Musket	빨간 물약 주사기 머스킷	
ITEM_20181102_016578	Let's show everyone your support! Voooooooo! Event item.	응원도구 입니다. 뿌우우우우. 9월 11일 점검 시, 일괄 삭제됩니다.	ITEM_20180327_005627	Event item.	 6월 29일 점검 시, 일괄 삭제됩니다.	
ITEM_20181102_016579	It lets you dig. Event item.	땅을 파낼 수 있습니다. 9월 11일 점검 시, 일괄 삭제됩니다.	ITEM_20180528_015090	 Event item.	 6월 28일 점검 시, 일괄 삭제됩니다.	
ITEM_20181102_016580	Ah! You found something! Event item.	앗! 뭔가 발견한 것 같습니다. 9월 11일 점검 시, 일괄 삭제됩니다.	ITEM_20180327_005627	Event item.	 6월 29일 점검 시, 일괄 삭제됩니다.	
ITEM_20181102_016581	Work on your biceps. Event item.	근력을 키우는데 도움이 됩니다. 9월 11일 점검 시, 일괄 삭제됩니다.	ITEM_20180327_005631	Work on your biceps. Event item.	근력을 키우는데 도움이 됩니다. 6월 29일 점검 시, 일괄 삭제됩니다.	
ITEM_20181102_016582	Bursting the little plastic bubbles is the most satisfying feeling ever. Event item.	뽁 하고 터트리면 기분이 좋아집니다. 9월 11일 점검 시, 일괄 삭제됩니다.	ITEM_20180327_005633	Bursting the little plastic bubbles is the most satisfying feeling ever. Event item.	뽁 하고 터트리면 기분이 좋아집니다. 6월 29일 점검 시, 일괄 삭제됩니다.	
