QUEST_LV_0500_20190513_000001	如果必須有人去做這件事，我希望是別人。{nl}為什麼偏偏要讓我做這種事呢？	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20200902_000261	對怪物使用格萊伊希歐的隨身物品。	글레이시어의 소지품을 몬스터에게 사용하기.				
QUEST_LV_0500_20200902_000262	按照東征十字軍大師的要求，將格萊伊希歐的隨身物品拿去給怪物們看看。	크루세이더 마스터의 요청대로, 글레시이어의 소지품을 몬스터들에게 보여주세요.				
QUEST_LV_0500_20200902_000263	向東征十字軍大師報告調查結果。	조사 결과를 크루세이더 마스터에게 보고하기.				
QUEST_LV_0500_20200902_000264	將格萊伊希歐的隨身物品給怪物看過之後，怪物們就驚慌失措地跑掉了！{nl}請向東征十字軍大師報告調查結果。	글레시이서의 소지품을 몬스터에게 보여주니, 몬스터들은 허겁지겁 달아났습니다!{nl}조사 결과를 크루세이더 마스터에게 알려주세요.				
QUEST_LV_0500_20200902_000265	東征十字軍大師為了接下來的調查，想要尋求協助。{nl}請與東征十字軍大師對話。	크루세이더 마스터가 다음 조사를 위해 협조를 요청하려고 합니다.{nl}크루세이더 마스터와 대화하세요.				
QUEST_LV_0500_20200902_000266	準備調查可疑的碎片。	수상한 조각 조사 준비하기.				
QUEST_LV_0500_20200902_000267	東征十字軍大師從派遣員手中取得了可疑的碎片的相關報告，該碎片推測是由格萊伊西歐所掉落。{nl}請前往有可疑的碎片的地方事先做好準備，以便東征十字軍大師進行調查。	크루세이더 마스터는 파견원으로부터 글레이시어가 흘린 것으로 추정되는 수상한 조각에 대한 보고를 받았습니다.{nl}수상한 조각이 있는 곳으로 가서 크루세이더 마스터가 조사할 수 있도록 미리 준비를 해두세요.				
QUEST_LV_0500_20200902_000268	回去找東征十字軍。	크루세이더 마스터에게 돌아가기.				
QUEST_LV_0500_20200902_000269	東征十字軍大師拿走了可疑的碎片。{nl}請回去找她聽關於調查的結果。	크루세이더 마스터가 수상한 조각을 가져갔습니다.{nl}그녀에게 돌아가 조사 결과에 대해 들어보세요.				
QUEST_LV_0500_20200902_000270	請詢問東征十字軍大師為了接下來的調查所需要的是什麼。	크루세이더 마스터에게 다음 조사를 위해 필요한 건 무엇인지 물어보세요.				
QUEST_LV_0500_20200902_000271	在白魔女森林(傳說)進行調查。	하얀 마녀의 숲(레전드)에서 조사를 진행하기.				
QUEST_LV_0500_20200902_000272	東征十字軍大師說為了確定格萊伊希歐的幕後凶手是魔族，因此需要有更確切的證據。{nl}請回到白魔女森林去查看破掉的袋子。	크루세이더 마스터는 글레이시어의 배후에 있는 마족의 존재를 특정하기 위해서는 더 확실한 증거가 필요하다고 합니다.{nl}하얀 마녀의 숲으로 돌아가 해진 주머니를 살펴보세요.				
QUEST_LV_0500_20200902_000273	請給東征十字軍大師看在破掉的袋子中發現的可疑的指令書。	크루세이더 마스터에게 해진 주머니에서 발견한 의문의 지령서를 보여주세요.				
QUEST_LV_0500_20200902_000274	請詢問東征十字軍大師是否還有需要幫助的事情。	크루세이더 마스터에게 더 도와줄 일은 없는 지 물어보세요.				
QUEST_LV_0500_20200902_000275	尋訪冉達大師。	랑다 마스터를 찾아가기.				
QUEST_LV_0500_20200902_000276	東征十字軍大師對協助調查表示感謝，最後為了對可疑的碎片進行確實的調查，拜託我們去找冉達大師。{nl}請前往莎勒斯修女院尋找冉達大師，詢問有關可疑的碎片。	크루세이더 마스터는 조사에 협력해주어서 고맙다는 말을 전하며, 마지막으로 수상한 조각에 대해서 확실한 조사를 하기 위해 랑다 마스터를 찾아가 달라고했습니다.{nl}살러스 수녀원에 있는 랑다 마스터를 찾아가 수상한 조각에 대해 물어보세요.				
QUEST_LV_0500_20200902_000277	與冉達大師對話。	랑다 마스터와 대화하기.				
QUEST_LV_0500_20200902_000278	請向冉達大師打聽有關可疑的碎片。	랑다 마스터에게 수상한 조각에 대해서 의견을 들으세요.				
QUEST_LV_0500_20200902_000279	將可疑的碎片轉交給冉達少女。	수상한 조각을 랑다 소녀에게 전해주기.				
QUEST_LV_0500_20200902_000280	從冉達大師那裡聽到了可疑的碎片的相關說明。{nl}由於是很危險的物品，因此必須將碎片交給更善於駕馭魔族力量的冉達。{nl}請將碎片轉交給冉達少女。	랑다 마스터에게 수상한 조각에 대한 설명을 들었습니다.{nl}위험한 물건이니 마족의 힘을 다루는 데 더 능숙한 랑다에게 조각을 맡겨야 합니다.{nl}조각을 랑다 소녀에게 전해주세요.				
